ligand,E1,E2,E3
YIQPUIGJQJDJOS-UHFFFAOYSA-N,-8.0,-9.3,-9.3
XPFRXWCVYUEORT-UHFFFAOYSA-N,-6.6,-5.7,-5.4
WHXMKTBCFHIYNQ-SECBINFHSA-N,-8.5,-7.9,-6.4
RKHQGWMMUURILY-UHRZLXHJSA-N,-7.9,-9.8,-7.3
LBRNZQRZDLLIHL-LJQANCHMSA-N,-6.5,-6.3,-4.9
WRYZEGZNBYOMLE-UHFFFAOYSA-N,-6.0,-5.2,-4.7
UMWAUEZOGHNSCH-SECBINFHSA-N,-5.9,-5.0,-4.5
QIHLUZAFSSMXHQ-UHFFFAOYSA-N,-6.5,-7.4,-5.7
LZRDDINFIHUVCX-UHFFFAOYSA-N,-7.3,-7.2,-6.0
CJOFXWAVKWHTFT-XSFVSMFZSA-N,-6.8,-5.7,-5.5
VSZGPKBBMSAYNT-RRFJBIMHSA-N,-5.8,-5.6,-5.2
UFAHZIUFPNSHSL-MRVPVSSYSA-O,-5.5,-5.1,-4.2
AQCHWTWZEMGIFD-JTQLQIEISA-N,-7.3,-7.6,-6.5
LEBVLXFERQHONN-MRXNPFEDSA-N,-7.1,-6.5,-5.3
CULUWZNBISUWAS-UHFFFAOYSA-N,-7.0,-6.3,-5.8
GOIQOQCNFWYSTQ-RXMQYKEDSA-N,-4.8,-5.5,-4.3
XACKNLSZYYIACO-DJLDLDEBSA-N,-7.8,-6.2,-5.6
AJKIRUJIDFJUKJ-UHFFFAOYSA-N,-7.1,-6.2,-5.0
JVYKJZPZFIUYAB-UHFFFAOYSA-N,-7.1,-6.1,-5.2
AELCINSCMGFISI-DTWKUNHWSA-N,-5.1,-4.7,-4.1
VCRQLDNIOXNDMT-UHFFFAOYSA-N,-8.1,-7.2,-6.7
RZXZIZDRFQFCTA-PVQJCKRUSA-N,-3.6,-3.4,-3.0
YQEZLKZALYSWHR-ZDUSSCGKSA-N,-6.6,-6.0,-4.7
