ligand,E1,E2,E3
LEBVLXFERQHONN-MRXNPFEDSA-N,-6.2,-5.0,-5.4
JVYKJZPZFIUYAB-UHFFFAOYSA-N,-6.4,-5.8,-5.6
RZXZIZDRFQFCTA-PVQJCKRUSA-N,-3.8,-3.8,-3.6
QIHLUZAFSSMXHQ-UHFFFAOYSA-N,-6.3,-6.0,-6.3
XPFRXWCVYUEORT-UHFFFAOYSA-N,-6.2,-6.4,-5.1
WHXMKTBCFHIYNQ-SECBINFHSA-N,-7.6,-6.6,-5.5
YIQPUIGJQJDJOS-UHFFFAOYSA-N,-7.0,-6.8,-5.5
UMWAUEZOGHNSCH-SECBINFHSA-N,-5.1,-4.9,-5.0
WRYZEGZNBYOMLE-UHFFFAOYSA-N,-5.5,-5.2,-5.0
VSZGPKBBMSAYNT-RRFJBIMHSA-N,-5.8,-5.0,-4.8
XACKNLSZYYIACO-DJLDLDEBSA-N,-6.7,-5.7,-5.2
AELCINSCMGFISI-DTWKUNHWSA-N,-5.0,-5.1,-4.8
RKHQGWMMUURILY-UHRZLXHJSA-N,-6.8,-7.1,-5.8
GOIQOQCNFWYSTQ-RXMQYKEDSA-N,-5.0,-5.1,-4.7
LZRDDINFIHUVCX-UHFFFAOYSA-N,-7.3,-6.1,-6.0
YQEZLKZALYSWHR-ZDUSSCGKSA-N,-6.6,-5.6,-5.0
AJKIRUJIDFJUKJ-UHFFFAOYSA-N,-5.8,-5.3,-4.4
LBRNZQRZDLLIHL-LJQANCHMSA-N,-6.6,-5.4,-5.4
AQCHWTWZEMGIFD-JTQLQIEISA-N,-7.5,-6.2,-5.7
CJOFXWAVKWHTFT-XSFVSMFZSA-N,-6.5,-5.8,-5.3
CULUWZNBISUWAS-UHFFFAOYSA-N,-6.8,-6.7,-5.4
UFAHZIUFPNSHSL-MRVPVSSYSA-O,-4.9,-4.4,-3.9
VCRQLDNIOXNDMT-UHFFFAOYSA-N,-7.0,-6.3,-6.2
