ligand,E1,E2,E3
KRKNYBCHXYNGOX-UHFFFAOYSA-N,-5.6,-5.8,-5.3
KYIAWOXNPBANEW-LURJTMIESA-N,-5.9,-6.0,-5.8
UQRORFVVSGFNRO-UTINFBMNSA-N,-5.8,-5.8,-5.6
QTNZYVAMNRDUAD-UHFFFAOYSA-N,-5.6,-6.4,-6.2
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,-8.4,-8.7,-9.4
LQGIXNQCOXNCRP-UHFFFAOYSA-N,-6.8,-6.5,-6.9
BOFQWVMAQOTZIW-UHFFFAOYSA-N,-8.3,-8.5,-8.8
HJDYAOBDPZQHOD-SFHVURJKSA-N,-6.7,-6.8,-7.1
WOUOLAUOZXOLJQ-MBSDFSHPSA-N,-7.7,-8.1,-9.4
VYWWNRMSAPEJLS-UPKJDFJRSA-N,-8.1,-6.7,-8.4
GVPIXRLYKVFFMK-UHFFFAOYSA-N,-8.1,-7.7,-8.3
KUAZQDVKQLNFPE-UHFFFAOYSA-N,-3.6,-3.9,-4.1
SBNKFTQSBPKMBZ-UHFFFAOYSA-N,-5.5,-5.7,-6.0
PXQPEWDEAKTCGB-UHFFFAOYSA-N,-5.7,-5.8,-6.1
SPLVKBMIQSSFFN-UHFFFAOYSA-N,-6.1,-6.0,-6.2
DB11989,-7.0,-7.7,-7.2
SJDACOMXKWHBOW-UHFFFAOYSA-N,-8.8,-8.1,-7.9
QPADNTZLUBYNEN-UHFFFAOYSA-N,-5.7,-5.7,-6.2
XYFLWVOTXWXNAM-WTNNCJBMSA-N,-9.6,-9.1,-9.5
PRFPQYGTPKDLHJ-LLVKDONJSA-N,-5.5,-6.1,-6.0
NASXCEITKQITLD-UHFFFAOYSA-N,-7.0,-8.0,-9.2
CNBHDDBNEKKMJH-ZFWWWQNUSA-N,-7.3,-7.0,-7.8
RJIWZDNTCBHXAL-UHFFFAOYSA-N,-6.1,-6.4,-6.9
DHHVAGZRUROJKS-UHFFFAOYSA-N,-5.2,-5.4,-6.0
