ligand,E1,E2,E3
HJDYAOBDPZQHOD-SFHVURJKSA-N,-5.9,-6.0,-5.1
KRKNYBCHXYNGOX-UHFFFAOYSA-N,-4.8,-4.4,-4.6
RJIWZDNTCBHXAL-UHFFFAOYSA-N,-5.9,-5.5,-4.9
BOFQWVMAQOTZIW-UHFFFAOYSA-N,-6.9,-7.4,-6.9
DHHVAGZRUROJKS-UHFFFAOYSA-N,-4.1,-5.0,-4.4
SJDACOMXKWHBOW-UHFFFAOYSA-N,-6.5,-6.8,-6.2
VYWWNRMSAPEJLS-UPKJDFJRSA-N,-6.5,-6.4,-5.9
SPLVKBMIQSSFFN-UHFFFAOYSA-N,-5.1,-5.5,-4.7
KUAZQDVKQLNFPE-UHFFFAOYSA-N,-3.6,-3.6,-3.0
PXQPEWDEAKTCGB-UHFFFAOYSA-N,-5.0,-5.0,-4.5
GVPIXRLYKVFFMK-UHFFFAOYSA-N,-6.5,-7.5,-5.8
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,-7.5,-7.8,-6.8
QPADNTZLUBYNEN-UHFFFAOYSA-N,-5.0,-5.5,-4.2
DB11989,-5.9,-5.7,-5.2
QTNZYVAMNRDUAD-UHFFFAOYSA-N,-5.0,-5.7,-4.7
CNBHDDBNEKKMJH-ZFWWWQNUSA-N,-6.6,-6.6,-5.6
NASXCEITKQITLD-UHFFFAOYSA-N,-6.3,-7.1,-5.9
SBNKFTQSBPKMBZ-UHFFFAOYSA-N,-4.5,-5.1,-4.0
LQGIXNQCOXNCRP-UHFFFAOYSA-N,-5.8,-6.3,-5.3
XYFLWVOTXWXNAM-WTNNCJBMSA-N,-7.7,-6.9,-7.3
KYIAWOXNPBANEW-LURJTMIESA-N,-5.0,-5.4,-4.9
UQRORFVVSGFNRO-UTINFBMNSA-N,-5.0,-5.0,-4.3
WOUOLAUOZXOLJQ-MBSDFSHPSA-N,-7.0,-6.2,-5.7
PRFPQYGTPKDLHJ-LLVKDONJSA-N,-4.7,-5.9,-4.5
