ligand,E1,E2,E3
PRFPQYGTPKDLHJ-LLVKDONJSA-N,-5.4,-5.1,-5.1
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,-8.5,-6.8,-6.9
KYIAWOXNPBANEW-LURJTMIESA-N,-5.7,-5.3,-5.3
SBNKFTQSBPKMBZ-UHFFFAOYSA-N,-5.6,-4.8,-4.8
SPLVKBMIQSSFFN-UHFFFAOYSA-N,-6.5,-5.2,-5.2
BOFQWVMAQOTZIW-UHFFFAOYSA-N,-8.4,-7.0,-7.3
VYWWNRMSAPEJLS-UPKJDFJRSA-N,-7.2,-7.1,-5.5
LQGIXNQCOXNCRP-UHFFFAOYSA-N,-6.4,-5.7,-4.8
NASXCEITKQITLD-UHFFFAOYSA-N,-7.4,-6.1,-6.2
WOUOLAUOZXOLJQ-MBSDFSHPSA-N,-6.9,-6.4,-5.8
GVPIXRLYKVFFMK-UHFFFAOYSA-N,-7.2,-6.6,-6.6
KUAZQDVKQLNFPE-UHFFFAOYSA-N,-3.3,-3.5,-3.0
DB11989,-6.6,-6.8,-5.6
HJDYAOBDPZQHOD-SFHVURJKSA-N,-5.6,-5.6,-5.0
QPADNTZLUBYNEN-UHFFFAOYSA-N,-5.6,-4.9,-3.9
PXQPEWDEAKTCGB-UHFFFAOYSA-N,-5.4,-5.4,-4.8
SJDACOMXKWHBOW-UHFFFAOYSA-N,-7.6,-6.7,-5.7
UQRORFVVSGFNRO-UTINFBMNSA-N,-4.8,-4.9,-4.3
RJIWZDNTCBHXAL-UHFFFAOYSA-N,-5.8,-5.6,-5.2
QTNZYVAMNRDUAD-UHFFFAOYSA-N,-6.0,-6.0,-4.8
CNBHDDBNEKKMJH-ZFWWWQNUSA-N,-7.5,-5.8,-5.4
DHHVAGZRUROJKS-UHFFFAOYSA-N,-5.1,-5.3,-5.2
XYFLWVOTXWXNAM-WTNNCJBMSA-N,-8.2,-7.6,-6.5
KRKNYBCHXYNGOX-UHFFFAOYSA-N,-5.0,-5.2,-4.7
