ligand,E1,E2,E3
DB11989,-7.7,-7.4,-7.4
LQGIXNQCOXNCRP-UHFFFAOYSA-N,-8.1,-7.6,-7.5
QPADNTZLUBYNEN-UHFFFAOYSA-N,-6.4,-6.7,-5.6
VYWWNRMSAPEJLS-UPKJDFJRSA-N,-6.9,-8.5,-8.6
GVPIXRLYKVFFMK-UHFFFAOYSA-N,-8.8,-9.1,-8.6
DHHVAGZRUROJKS-UHFFFAOYSA-N,-5.6,-5.4,-5.4
KUAZQDVKQLNFPE-UHFFFAOYSA-N,-4.2,-4.7,-3.8
SPLVKBMIQSSFFN-UHFFFAOYSA-N,-6.3,-6.6,-6.1
BOFQWVMAQOTZIW-UHFFFAOYSA-N,-10.4,-10.0,-10.2
WOUOLAUOZXOLJQ-MBSDFSHPSA-N,-8.1,-8.6,-8.2
SJDACOMXKWHBOW-UHFFFAOYSA-N,-9.4,-9.2,-9.4
QTNZYVAMNRDUAD-UHFFFAOYSA-N,-7.4,-6.2,-6.2
XYFLWVOTXWXNAM-WTNNCJBMSA-N,-10.7,-10.4,-10.4
PRFPQYGTPKDLHJ-LLVKDONJSA-N,-6.7,-6.6,-5.7
CNBHDDBNEKKMJH-ZFWWWQNUSA-N,-8.1,-8.2,-8.2
NASXCEITKQITLD-UHFFFAOYSA-N,-8.4,-8.4,-7.4
KRKNYBCHXYNGOX-UHFFFAOYSA-N,-6.2,-6.2,-5.5
RJIWZDNTCBHXAL-UHFFFAOYSA-N,-7.1,-7.2,-6.0
UQRORFVVSGFNRO-UTINFBMNSA-N,-5.8,-6.6,-5.6
PXQPEWDEAKTCGB-UHFFFAOYSA-N,-6.6,-6.7,-5.9
SBNKFTQSBPKMBZ-UHFFFAOYSA-N,-6.2,-6.1,-5.0
HJDYAOBDPZQHOD-SFHVURJKSA-N,-7.3,-6.7,-7.1
KYIAWOXNPBANEW-LURJTMIESA-N,-7.4,-7.1,-6.3
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,-11.2,-9.1,-9.5
