ligand,E1,E2,E3
QPADNTZLUBYNEN-UHFFFAOYSA-N,-6.6,-4.4,-4.7
DB11989,-7.5,-6.4,-6.0
NASXCEITKQITLD-UHFFFAOYSA-N,-9.3,-6.7,-5.9
BOFQWVMAQOTZIW-UHFFFAOYSA-N,-8.7,-7.2,-7.6
SBNKFTQSBPKMBZ-UHFFFAOYSA-N,-6.0,-5.4,-5.6
DHHVAGZRUROJKS-UHFFFAOYSA-N,-5.8,-4.7,-4.1
KRKNYBCHXYNGOX-UHFFFAOYSA-N,-5.6,-5.6,-4.5
KYIAWOXNPBANEW-LURJTMIESA-N,-6.0,-5.6,-5.4
QTNZYVAMNRDUAD-UHFFFAOYSA-N,-6.3,-5.3,-4.6
SJDACOMXKWHBOW-UHFFFAOYSA-N,-7.9,-6.8,-7.7
WOUOLAUOZXOLJQ-MBSDFSHPSA-N,-9.0,-6.4,-6.4
KUAZQDVKQLNFPE-UHFFFAOYSA-N,-4.4,-3.7,-3.3
HJDYAOBDPZQHOD-SFHVURJKSA-N,-7.0,-5.6,-5.3
SPLVKBMIQSSFFN-UHFFFAOYSA-N,-6.4,-5.3,-4.5
CNBHDDBNEKKMJH-ZFWWWQNUSA-N,-7.8,-6.7,-5.5
VYWWNRMSAPEJLS-UPKJDFJRSA-N,-7.6,-6.7,-6.5
RJIWZDNTCBHXAL-UHFFFAOYSA-N,-6.9,-6.6,-6.1
PRFPQYGTPKDLHJ-LLVKDONJSA-N,-6.5,-5.1,-4.4
LQGIXNQCOXNCRP-UHFFFAOYSA-N,-6.7,-5.8,-5.5
PXQPEWDEAKTCGB-UHFFFAOYSA-N,-6.1,-5.7,-5.0
GVPIXRLYKVFFMK-UHFFFAOYSA-N,-7.8,-7.3,-6.7
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,-9.3,-8.1,-6.9
XYFLWVOTXWXNAM-WTNNCJBMSA-N,-9.1,-7.7,-7.1
UQRORFVVSGFNRO-UTINFBMNSA-N,-6.5,-4.8,-4.3
