ligand,E1,E2,E3
KRKNYBCHXYNGOX-UHFFFAOYSA-N,-4.3,-4.0,-3.3
RJIWZDNTCBHXAL-UHFFFAOYSA-N,-5.3,-4.7,-4.0
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,-7.3,-6.3,-6.4
NASXCEITKQITLD-UHFFFAOYSA-N,-6.7,-5.2,-5.6
CNBHDDBNEKKMJH-ZFWWWQNUSA-N,-6.7,-5.2,-5.1
HJDYAOBDPZQHOD-SFHVURJKSA-N,-5.8,-4.7,-5.0
KYIAWOXNPBANEW-LURJTMIESA-N,-5.4,-4.4,-4.3
PRFPQYGTPKDLHJ-LLVKDONJSA-N,-5.8,-4.5,-4.2
UQRORFVVSGFNRO-UTINFBMNSA-N,-4.8,-4.2,-3.8
GVPIXRLYKVFFMK-UHFFFAOYSA-N,-7.6,-5.3,-6.1
SBNKFTQSBPKMBZ-UHFFFAOYSA-N,-4.8,-4.0,-3.8
DB11989,-6.8,-4.6,-5.0
KUAZQDVKQLNFPE-UHFFFAOYSA-N,-3.5,-2.8,-2.7
SPLVKBMIQSSFFN-UHFFFAOYSA-N,-5.6,-4.2,-4.3
QPADNTZLUBYNEN-UHFFFAOYSA-N,-4.6,-4.6,-3.9
PXQPEWDEAKTCGB-UHFFFAOYSA-N,-4.7,-4.3,-3.6
BOFQWVMAQOTZIW-UHFFFAOYSA-N,-7.4,-6.2,-6.2
VYWWNRMSAPEJLS-UPKJDFJRSA-N,-6.2,-5.3,-5.9
SJDACOMXKWHBOW-UHFFFAOYSA-N,-6.6,-5.8,-6.0
LQGIXNQCOXNCRP-UHFFFAOYSA-N,-5.7,-4.6,-5.1
DHHVAGZRUROJKS-UHFFFAOYSA-N,-5.4,-4.3,-4.0
QTNZYVAMNRDUAD-UHFFFAOYSA-N,-5.6,-4.3,-4.3
WOUOLAUOZXOLJQ-MBSDFSHPSA-N,-7.5,-4.3,-5.8
XYFLWVOTXWXNAM-WTNNCJBMSA-N,-7.5,-6.4,-6.1
