ligand,E1,E2,E3
LQGIXNQCOXNCRP-UHFFFAOYSA-N,-6.3,-6.2,-6.0
BOFQWVMAQOTZIW-UHFFFAOYSA-N,-7.6,-7.3,-7.6
CNBHDDBNEKKMJH-ZFWWWQNUSA-N,-6.6,-6.7,-6.7
SBNKFTQSBPKMBZ-UHFFFAOYSA-N,-5.5,-5.4,-5.4
WOUOLAUOZXOLJQ-MBSDFSHPSA-N,-7.9,-7.9,-7.9
VYWWNRMSAPEJLS-UPKJDFJRSA-N,-6.1,-6.6,-5.9
QTNZYVAMNRDUAD-UHFFFAOYSA-N,-5.3,-5.2,-5.3
QPADNTZLUBYNEN-UHFFFAOYSA-N,-5.9,-6.0,-6.0
DHHVAGZRUROJKS-UHFFFAOYSA-N,-5.0,-4.9,-5.0
KYIAWOXNPBANEW-LURJTMIESA-N,-5.6,-5.6,-5.6
GVPIXRLYKVFFMK-UHFFFAOYSA-N,-6.5,-6.5,-6.5
NASXCEITKQITLD-UHFFFAOYSA-N,-6.8,-7.0,-7.1
HJDYAOBDPZQHOD-SFHVURJKSA-N,-5.9,-5.8,-5.9
UQRORFVVSGFNRO-UTINFBMNSA-N,-5.7,-5.6,-5.7
SPLVKBMIQSSFFN-UHFFFAOYSA-N,-5.4,-5.4,-5.4
KRKNYBCHXYNGOX-UHFFFAOYSA-N,-5.0,-5.0,-5.0
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,-8.1,-8.2,-8.1
PRFPQYGTPKDLHJ-LLVKDONJSA-N,-5.7,-5.6,-5.7
PXQPEWDEAKTCGB-UHFFFAOYSA-N,-5.5,-5.5,-5.5
KUAZQDVKQLNFPE-UHFFFAOYSA-N,-3.8,-3.8,-4.0
SJDACOMXKWHBOW-UHFFFAOYSA-N,-6.3,-6.3,-6.3
RJIWZDNTCBHXAL-UHFFFAOYSA-N,-6.4,-6.5,-6.3
DB11989,-6.3,-6.2,-6.2
XYFLWVOTXWXNAM-WTNNCJBMSA-N,-8.7,-8.1,-8.7
