ligand,E1,E2,E3
OMPJBNCRMGITSC-UHFFFAOYSA-N,-7.9,-6.9,-5.1
AKPLHCDWDRPJGD-UHFFFAOYSA-N,-7.2,-6.4,-5.9
BFPSDSIWYFKGBC-UHFFFAOYSA-N,-7.3,-6.1,-5.3
JLVSRWOIZZXQAD-GSVOUGTGSA-N,-4.0,-3.9,-3.6
TZXKOCQBRNJULO-UHFFFAOYSA-N,-5.3,-4.9,-5.1
BIDUPMYXGFNAEJ-APGVDKLISA-N,-6.6,-5.9,-5.7
OZGNYLLQHRPOBR-DHZHZOJOSA-N,-8.9,-7.7,-5.3
FKKUMFTYSTZUJG-UHFFFAOYSA-N,-7.8,-6.4,-6.3
OCOKWVBYZHBHLU-UHFFFAOYSA-N,-7.8,-5.9,-5.6
YPIQVCUJEKAZCP-UHFFFAOYSA-N,-5.9,-5.0,-4.9
MQXVYODZCMMZEM-ZYUZMQFOSA-N,-5.6,-5.0,-4.4
OLBCVFGFOZPWHH-UHFFFAOYSA-N,-6.4,-5.1,-4.6
BCQZXOMGPXTTIC-PVQJCKRUSA-N,-4.2,-3.9,-3.4
CWXYHOHYCJXYFQ-UHFFFAOYSA-N,-6.4,-5.6,-5.7
GBPZSCQLDXUGNO-NSHDSACASA-N,-7.2,-6.3,-5.6
QWCJHSGMANYXCW-UHFFFAOYSA-N,-8.6,-6.3,-6.0
KPQZUUQMTUIKBP-RXMQYKEDSA-N,-5.8,-5.3,-4.9
