ligand,E1,E2,E3
CWXYHOHYCJXYFQ-UHFFFAOYSA-N,-5.7,-6.5,-6.7
MQXVYODZCMMZEM-ZYUZMQFOSA-N,-5.4,-5.4,-5.2
OMPJBNCRMGITSC-UHFFFAOYSA-N,-6.9,-7.5,-8.1
JLVSRWOIZZXQAD-GSVOUGTGSA-N,-3.9,-3.9,-3.8
BIDUPMYXGFNAEJ-APGVDKLISA-N,-6.9,-7.2,-6.8
FKKUMFTYSTZUJG-UHFFFAOYSA-N,-7.5,-7.2,-7.5
KPQZUUQMTUIKBP-RXMQYKEDSA-N,-5.6,-5.8,-5.9
GBPZSCQLDXUGNO-NSHDSACASA-N,-6.8,-7.6,-7.6
BFPSDSIWYFKGBC-UHFFFAOYSA-N,-6.6,-6.2,-7.1
BCQZXOMGPXTTIC-PVQJCKRUSA-N,-4.0,-4.2,-4.1
OZGNYLLQHRPOBR-DHZHZOJOSA-N,-8.0,-8.0,-9.0
TZXKOCQBRNJULO-UHFFFAOYSA-N,-5.0,-4.8,-5.3
AKPLHCDWDRPJGD-UHFFFAOYSA-N,-7.6,-7.5,-8.3
OLBCVFGFOZPWHH-UHFFFAOYSA-N,-5.5,-5.7,-6.0
YPIQVCUJEKAZCP-UHFFFAOYSA-N,-5.5,-5.5,-5.7
QWCJHSGMANYXCW-UHFFFAOYSA-N,-6.7,-7.7,-8.6
OCOKWVBYZHBHLU-UHFFFAOYSA-N,-7.6,-7.2,-7.4
