ligand,energy,binding score
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-6.4,15053.57
YNJBWRMUSHSURL-UHFFFAOYSA-N,-4.0,18289.05
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-7.0,29401.35
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-8.0,20844.25
XWZXRENCCHMZNF-RXMQYKEDSA-N,-5.4,28921.8
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-9.2,13249.35
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-6.1,31782.58
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-6.8,28673.6
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-6.5,13716.71
GHASVSINZRGABV-UHFFFAOYSA-N,-5.3,21441.56
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-8.3,14947.37
XGNKHIPCARGLGS-UHFFFAOYSA-N,-6.8,25586.32
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-6.7,24012.04
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-5.5,21735.38
LQJARUQXWJSDFL-UHFFFAOYSA-N,-5.9,23070.57
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-6.7,21202.93
MROJXXOCABQVEF-UHFFFAOYSA-N,-6.5,25475.25
CPJSUEIXXCENMM-UHFFFAOYSA-N,-6.0,33020.43
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-8.0,26737.89
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-6.1,25962.16
VJZITPJGSQKZMX-XDPRQOKASA-N,-8.9,17325.52
RYYCJUAHISIHTL-UHFFFAOYSA-N,-5.9,26924.55
FFYNAVGJSYHHFO-NRFANRHFSA-N,-7.5,12391.19
HHFOOWPWAXNJNY-SECBINFHSA-N,-5.6,12380.44
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-5.0,18481.01
HSTZMXCBWJGKHG-CUYWLFDKSA-N,-9.4,12360.2
XUJNEKJLAYXESH-REOHCLBHSA-N,-3.9,26626.73
ASWVTGNCAZCNNR-UHFFFAOYSA-N,-7.8,26722.61
WKGXYQFOCVYPAC-UHFFFAOYSA-N,-6.8,30436.5
ANZXOIAKUNOVQU-OAHLLOKOSA-N,-7.4,15619.82
CORFWQGVBFFZHF-AKGSDVBQSA-N,-7.2,21013.5
OJSFTALXCYKKFQ-YLJYHZDGSA-N,-7.5,32638.2
BRZANEXCSZCZCI-UHFFFAOYSA-N,-8.3,25657.14
YHKPTICJRUESOY-UHFFFAOYSA-N,-6.3,21891.72
AIONOLUJZLIMTK-AWEZNQCLSA-N,-8.7,11745.39
OCSOHUROTFFTFO-QMMMGPOBSA-N,-6.3,28120.55
ZGNRRVAPHPANFI-UHFFFAOYSA-N,-6.5,16196.09
