ligand,energy,binding score
GHASVSINZRGABV-UHFFFAOYSA-N,-5.3,63649.37
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-5.1,61562.99
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-6.0,38135.71
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-6.7,51323.25
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-6.4,23368.26
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-8.3,47763.08
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-6.1,52033.13
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-6.7,48683.27
FFYNAVGJSYHHFO-NRFANRHFSA-N,-7.6,52239.23
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-8.0,30054.69
RYYCJUAHISIHTL-UHFFFAOYSA-N,-5.9,59951.49
LQJARUQXWJSDFL-UHFFFAOYSA-N,-6.0,55839.52
CPJSUEIXXCENMM-UHFFFAOYSA-N,-6.0,58487.97
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-6.7,44336.88
VJZITPJGSQKZMX-XDPRQOKASA-N,-8.9,22998.59
HHFOOWPWAXNJNY-SECBINFHSA-N,-5.6,69088.08
XGNKHIPCARGLGS-UHFFFAOYSA-N,-6.8,28798.36
MROJXXOCABQVEF-UHFFFAOYSA-N,-6.5,38542.5
YNJBWRMUSHSURL-UHFFFAOYSA-N,-4.0,34323.7
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-8.2,43257.42
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-9.2,18311.72
XWZXRENCCHMZNF-RXMQYKEDSA-N,-5.3,69426.99
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-5.5,44530.06
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-6.6,54025.88
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-7.1,54604.31
KRZCNRGNPAESDC-UHFFFAOYSA-N,-6.0,39327.44
OCSOHUROTFFTFO-QMMMGPOBSA-N,-6.5,64079.17
WKGXYQFOCVYPAC-UHFFFAOYSA-N,-6.8,64421.64
UORJNBVJVRLXMQ-UHFFFAOYSA-N,-6.5,59598.23
BRZANEXCSZCZCI-UHFFFAOYSA-N,-8.3,56140.53
RGLYKWWBQGJZGM-ISLYRVAYSA-N,-7.0,38552.76
AIONOLUJZLIMTK-AWEZNQCLSA-N,-8.7,57656.23
JAYAGJDXJIDEKI-BNNXBDHTSA-N,-9.3,29424.38
ANZXOIAKUNOVQU-OAHLLOKOSA-N,-7.4,58854.55
ACCMWZWAEFYUGZ-UHFFFAOYSA-N,-8.8,43950.04
ZGNRRVAPHPANFI-UHFFFAOYSA-N,-6.5,23879.75
YHKPTICJRUESOY-UHFFFAOYSA-N,-6.3,52057.22
XUJNEKJLAYXESH-REOHCLBHSA-N,-3.9,39644.11
OOVJCSPCMCAXEX-UHFFFAOYSA-N,-7.8,60549.71
SFITWQDBYUMAPS-UHFFFAOYSA-N,-7.9,47904.23
OLBWFRRUHYQABZ-MRVPVSSYSA-N,-6.7,57966.12
