ligand,energy,binding score
FFYNAVGJSYHHFO-NRFANRHFSA-N,-7.5,41324.85
XWZXRENCCHMZNF-RXMQYKEDSA-N,-5.3,57368.15
HHFOOWPWAXNJNY-SECBINFHSA-N,-5.6,59477.48
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-6.9,48234.57
GHASVSINZRGABV-UHFFFAOYSA-N,-5.2,48886.82
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-4.9,53805.96
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-6.5,43682.82
YNJBWRMUSHSURL-UHFFFAOYSA-N,-4.2,34225.07
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-6.6,46199.26
RYYCJUAHISIHTL-UHFFFAOYSA-N,-6.1,52878.77
MROJXXOCABQVEF-UHFFFAOYSA-N,-6.5,37229.46
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-8.5,21522.37
VJZITPJGSQKZMX-XDPRQOKASA-N,-9.1,28251.92
CPJSUEIXXCENMM-UHFFFAOYSA-N,-5.9,43944.37
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-5.4,27117.54
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-6.6,32048.96
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-6.1,37599.93
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-6.0,30514.37
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-6.7,31196.47
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-7.2,29756.34
LQJARUQXWJSDFL-UHFFFAOYSA-N,-5.9,42308.15
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-8.3,39034.85
XGNKHIPCARGLGS-UHFFFAOYSA-N,-7.6,29455.44
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-9.4,39935.67
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-7.9,33027.49
AIONOLUJZLIMTK-AWEZNQCLSA-N,-8.7,48888.19
OCSOHUROTFFTFO-QMMMGPOBSA-N,-6.3,45783.31
YHKPTICJRUESOY-UHFFFAOYSA-N,-6.6,47047.36
KRZCNRGNPAESDC-UHFFFAOYSA-N,-6.0,39072.69
CORFWQGVBFFZHF-AKGSDVBQSA-N,-7.2,53920.04
WKGXYQFOCVYPAC-UHFFFAOYSA-N,-6.7,60343.26
JAYAGJDXJIDEKI-BNNXBDHTSA-N,-10.8,31391.43
SFITWQDBYUMAPS-UHFFFAOYSA-N,-8.3,26747.99
RGLYKWWBQGJZGM-ISLYRVAYSA-N,-7.0,31685.65
HSTZMXCBWJGKHG-CUYWLFDKSA-N,-8.9,39943.12
OJSFTALXCYKKFQ-YLJYHZDGSA-N,-7.6,34297.44
VPPJLAIAVCUEMN-GFCCVEGCSA-N,-6.8,43599.97
RDHQFKQIGNGIED-MRVPVSSYSA-N,-5.1,51253.19
UORJNBVJVRLXMQ-UHFFFAOYSA-N,-6.4,56222.5
ACCMWZWAEFYUGZ-UHFFFAOYSA-N,-8.6,33643.86
