ligand,energy,binding score
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-8.8,28922.05
LQJARUQXWJSDFL-UHFFFAOYSA-N,-5.9,28856.64
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-6.7,26721.5
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-6.4,18382.53
CPJSUEIXXCENMM-UHFFFAOYSA-N,-6.0,36655.39
XGNKHIPCARGLGS-UHFFFAOYSA-N,-6.9,25898.78
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-5.0,23032.41
HHFOOWPWAXNJNY-SECBINFHSA-N,-5.6,14805.17
XWZXRENCCHMZNF-RXMQYKEDSA-N,-5.3,30152.88
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-5.6,24386.0
RYYCJUAHISIHTL-UHFFFAOYSA-N,-5.9,31401.8
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-7.9,23089.16
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-9.2,15309.81
MROJXXOCABQVEF-UHFFFAOYSA-N,-6.4,27791.77
GHASVSINZRGABV-UHFFFAOYSA-N,-5.3,24957.5
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-6.1,27159.07
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-6.6,17027.42
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-8.3,18185.39
VJZITPJGSQKZMX-XDPRQOKASA-N,-8.9,19297.35
YNJBWRMUSHSURL-UHFFFAOYSA-N,-4.0,20727.49
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-6.7,26466.83
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-7.0,33275.76
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-6.1,31452.41
FFYNAVGJSYHHFO-NRFANRHFSA-N,-7.8,18294.17
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-6.7,27888.82
KRZCNRGNPAESDC-UHFFFAOYSA-N,-5.3,30109.19
ASWVTGNCAZCNNR-UHFFFAOYSA-N,-7.9,31096.16
SFITWQDBYUMAPS-UHFFFAOYSA-N,-8.0,25943.49
YHKPTICJRUESOY-UHFFFAOYSA-N,-6.4,27410.94
AIONOLUJZLIMTK-AWEZNQCLSA-N,-8.7,15339.13
WKGXYQFOCVYPAC-UHFFFAOYSA-N,-6.7,33434.89
XUJNEKJLAYXESH-REOHCLBHSA-N,-3.9,26744.17
GAWOVNGQYQVFLI-UHFFFAOYSA-N,-7.5,25644.47
NTHXOOBQLCIOLC-GARJFASQSA-N,-6.1,33564.84
HSTZMXCBWJGKHG-CUYWLFDKSA-N,-9.4,17884.62
BRZANEXCSZCZCI-UHFFFAOYSA-N,-8.3,29145.07
ZGNRRVAPHPANFI-UHFFFAOYSA-N,-6.5,18299.07
JAYAGJDXJIDEKI-BNNXBDHTSA-N,-9.3,24358.6
ANZXOIAKUNOVQU-OAHLLOKOSA-N,-7.3,18337.5
OJSFTALXCYKKFQ-YLJYHZDGSA-N,-6.9,35816.64
XZWYZXLIPXDOLR-UHFFFAOYSA-N,-5.4,28802.93
OLBWFRRUHYQABZ-MRVPVSSYSA-N,-6.7,28776.77
RDHQFKQIGNGIED-MRVPVSSYSA-N,-5.0,22190.17
ACCMWZWAEFYUGZ-UHFFFAOYSA-N,-8.8,20255.34
OCSOHUROTFFTFO-QMMMGPOBSA-N,-6.5,30674.17
UORJNBVJVRLXMQ-UHFFFAOYSA-N,-6.5,26973.35
CORFWQGVBFFZHF-AKGSDVBQSA-N,-7.2,23956.65
