ligand,energy,binding score
YNJBWRMUSHSURL-UHFFFAOYSA-N,-3.8,16412.07
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-5.3,22101.91
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-6.9,22196.4
CPJSUEIXXCENMM-UHFFFAOYSA-N,-5.1,23899.45
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-7.7,26241.99
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-6.8,18613.14
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-7.0,16923.21
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-8.0,15688.09
XWZXRENCCHMZNF-RXMQYKEDSA-N,-4.6,22195.92
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-6.1,24031.41
MROJXXOCABQVEF-UHFFFAOYSA-N,-5.7,21671.57
VJZITPJGSQKZMX-XDPRQOKASA-N,-9.5,20885.18
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-5.7,30575.39
LQJARUQXWJSDFL-UHFFFAOYSA-N,-5.6,20215.52
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-5.2,25018.16
FFYNAVGJSYHHFO-NRFANRHFSA-N,-7.0,16750.11
XGNKHIPCARGLGS-UHFFFAOYSA-N,-6.7,23829.95
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-4.6,9613.75
HHFOOWPWAXNJNY-SECBINFHSA-N,-4.7,16862.23
RYYCJUAHISIHTL-UHFFFAOYSA-N,-5.9,25433.02
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-5.9,16080.01
GHASVSINZRGABV-UHFFFAOYSA-N,-4.9,15602.98
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-4.9,13195.2
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-6.3,7417.39
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-5.7,13830.88
ANZXOIAKUNOVQU-OAHLLOKOSA-N,-6.9,19211.45
ACCMWZWAEFYUGZ-UHFFFAOYSA-N,-7.8,15155.36
UORJNBVJVRLXMQ-UHFFFAOYSA-N,-5.8,26827.7
RDHQFKQIGNGIED-MRVPVSSYSA-N,-4.9,22073.5
NTHXOOBQLCIOLC-GARJFASQSA-N,-6.6,10047.64
WKGXYQFOCVYPAC-UHFFFAOYSA-N,-6.5,27648.34
OJSFTALXCYKKFQ-YLJYHZDGSA-N,-7.0,18933.47
BRZANEXCSZCZCI-UHFFFAOYSA-N,-7.0,22631.94
ASWVTGNCAZCNNR-UHFFFAOYSA-N,-7.1,25642.17
AIONOLUJZLIMTK-AWEZNQCLSA-N,-7.7,16823.76
ZGNRRVAPHPANFI-UHFFFAOYSA-N,-6.1,19606.15
OCSOHUROTFFTFO-QMMMGPOBSA-N,-5.9,11391.14
YHKPTICJRUESOY-UHFFFAOYSA-N,-5.8,26121.85
KRZCNRGNPAESDC-UHFFFAOYSA-N,-5.1,28585.93
HSTZMXCBWJGKHG-CUYWLFDKSA-N,-8.2,17525.93
OLBWFRRUHYQABZ-MRVPVSSYSA-N,-5.9,11202.46
GAWOVNGQYQVFLI-UHFFFAOYSA-N,-6.4,15763.3
