ligand,energy,binding score
FFYNAVGJSYHHFO-NRFANRHFSA-N,-9.1,17882.57
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-6.9,27667.9
CPJSUEIXXCENMM-UHFFFAOYSA-N,-6.9,34683.21
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-8.4,25982.66
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-6.9,16599.32
YNJBWRMUSHSURL-UHFFFAOYSA-N,-5.1,30397.71
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-9.1,23112.63
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-6.9,26171.55
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-6.6,26991.19
VJZITPJGSQKZMX-XDPRQOKASA-N,-9.3,25211.94
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-6.4,28203.74
MROJXXOCABQVEF-UHFFFAOYSA-N,-8.4,30604.86
RYYCJUAHISIHTL-UHFFFAOYSA-N,-7.2,37608.8
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-7.1,31026.94
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-7.2,25810.05
XGNKHIPCARGLGS-UHFFFAOYSA-N,-7.6,22426.96
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-7.1,31854.2
HHFOOWPWAXNJNY-SECBINFHSA-N,-6.7,23969.55
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-8.5,23664.49
LQJARUQXWJSDFL-UHFFFAOYSA-N,-6.5,22817.02
XWZXRENCCHMZNF-RXMQYKEDSA-N,-6.0,33889.41
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-8.1,30734.72
GHASVSINZRGABV-UHFFFAOYSA-N,-6.1,28488.52
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-6.2,32160.83
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-8.3,15989.78
WKGXYQFOCVYPAC-UHFFFAOYSA-N,-8.4,30600.64
KRZCNRGNPAESDC-UHFFFAOYSA-N,-5.7,27809.88
GAWOVNGQYQVFLI-UHFFFAOYSA-N,-7.5,25959.2
BRZANEXCSZCZCI-UHFFFAOYSA-N,-8.3,38191.46
ZGNRRVAPHPANFI-UHFFFAOYSA-N,-7.6,24655.5
ANZXOIAKUNOVQU-OAHLLOKOSA-N,-7.2,21061.8
JAYAGJDXJIDEKI-BNNXBDHTSA-N,-10.7,22491.71
VPPJLAIAVCUEMN-GFCCVEGCSA-N,-7.3,27833.61
XZWYZXLIPXDOLR-UHFFFAOYSA-N,-5.8,35704.35
ACCMWZWAEFYUGZ-UHFFFAOYSA-N,-8.6,12590.85
SFITWQDBYUMAPS-UHFFFAOYSA-N,-7.7,28043.09
OCSOHUROTFFTFO-QMMMGPOBSA-N,-6.4,34906.36
RGLYKWWBQGJZGM-ISLYRVAYSA-N,-7.2,27988.78
YHKPTICJRUESOY-UHFFFAOYSA-N,-6.4,26344.93
OJSFTALXCYKKFQ-YLJYHZDGSA-N,-7.5,32976.91
HSTZMXCBWJGKHG-CUYWLFDKSA-N,-9.2,19239.7
OLBWFRRUHYQABZ-MRVPVSSYSA-N,-7.8,37199.27
ASWVTGNCAZCNNR-UHFFFAOYSA-N,-7.9,33284.59
AIONOLUJZLIMTK-AWEZNQCLSA-N,-8.6,22536.98
XUJNEKJLAYXESH-REOHCLBHSA-N,-4.7,25090.1
RDHQFKQIGNGIED-MRVPVSSYSA-N,-5.9,25737.68
NTHXOOBQLCIOLC-GARJFASQSA-N,-5.7,19148.07
UORJNBVJVRLXMQ-UHFFFAOYSA-N,-7.4,35300.83
CORFWQGVBFFZHF-AKGSDVBQSA-N,-8.0,26709.74
OOVJCSPCMCAXEX-UHFFFAOYSA-N,-7.9,18572.75
VSRBKQFNFZQRBM-ZETCQYMHSA-N,-5.0,38124.6
BSHWLCACYCVCJE-REWPJTCUSA-N,-8.7,21914.48
DFPJEJKMDZFZHC-GHVJWSGMSA-N,-10.8,24041.49
QCWJONLQSHEGEJ-UHFFFAOYSA-N,-5.4,39125.31
IQFYYKKMVGJFEH-CSMHCCOUSA-N,-8.0,25570.13
PXLVRFQEBVNJOH-SECBINFHSA-N,-6.9,24422.84
IQVRBWUUXZMOPW-PKNBQFBNSA-N,-8.9,24638.3
RDEOYUSTRWNWLX-KRWDZBQOSA-N,-7.8,21437.36
WHLUQAYNVOGZST-UHFFFAOYSA-N,-6.9,14439.85
OATDVDIMNNZTEY-DAXLTYESSA-N,-8.5,20194.24
IUNJANQVIJDFTQ-TUAOUCFPSA-N,-6.1,25648.71
QWCRAEMEVRGPNT-UHFFFAOYSA-N,-9.2,22041.66
MPOYJPINNSIHAK-UHFFFAOYSA-N,-7.0,33974.42
GMVPRGQOIOIIMI-DWKJAMRDSA-N,-8.6,20453.45
BCQTVJKBTWGHCX-UHFFFAOYSA-N,-8.8,24081.03
NEDPPCHNEOMTJV-UHFFFAOYSA-N,-9.1,17772.48
