ligand,E1,E2,E3
GVTLAVKAVSKBKK-UHFFFAOYSA-N,-5.0,-6.2,-4.5
INJOMKTZOLKMBF-UHFFFAOYSA-N,-5.9,-6.5,-5.4
KWTSXDURSIMDCE-QMMMGPOBSA-N,-5.2,-4.9,-4.5
ORTYMGHCFWKXHO-UHFFFAOYSA-N,-4.9,-5.8,-4.5
RXRGZNYSEHTMHC-BQBZGAKWSA-N,-5.6,-6.4,-4.6
ZXFWVUHYOBPQHY-YUMQZZPRSA-N,-5.7,-5.6,-3.8
HWHLPVGTWGOCJO-FQEVSTJZSA-N,-5.4,-7.5,-5.7
WAFIYOULDIWAKR-NSHDSACASA-N,-5.5,-6.2,-4.8
KLZWOWYOHUKJIG-BPUTZDHNSA-N,-6.6,-7.6,-5.4
MCPKSFINULVDNX-UHFFFAOYSA-N,-5.6,-7.3,-5.6
ONWXNHPOAGOMTG-UHFFFAOYSA-N,-6.9,-7.7,-5.8
PCOBBVZJEWWZFR-UHFFFAOYSA-N,-6.9,-6.9,-6.0
RCUDFXMNPQNBDU-VOTSOKGWSA-N,-6.6,-7.9,-6.2
LKCWBDHBTVXHDL-RMDFUYIESA-N,-6.6,-8.2,-5.3
WDDPHFBMKLOVOX-AYQXTPAHSA-N,-5.6,-7.7,-5.6
HJYYPODYNSCCOU-PTWHBISLSA-N,-6.7,-9.1,-7.2
PHIQHXFUZVPYII-ZCFIWIBFSA-N,-4.4,-5.2,-3.3
LVYLCBNXHHHPSB-UHFFFAOYSA-N,-5.5,-5.8,-4.5
PSWFFKRAVBDQEG-YGQNSOCVSA-N,-7.7,-6.8,-7.0
UIDWQGRXEVDFCA-XCVCLJGOSA-N,-6.7,-7.1,-5.4
QQOBRRFOVWGIMD-OJAKKHQRSA-N,-5.6,-7.6,-5.2
NYPYHUZRZVSYKL-ZETCQYMHSA-N,-5.5,-5.7,-4.6
JKOQGQFVAUAYPM-UHFFFAOYSA-N,-5.0,-4.4,-3.7
OSASVXMJTNOKOY-UHFFFAOYSA-N,-3.7,-4.3,-3.4
KVEZIRCKNOTGKY-UHFFFAOYSA-N,-5.4,-6.5,-5.0
