ligand,E1,E2,E3
JWIXXNLOKOAAQT-UHFFFAOYSA-N,-5.8,-5.5,-5.4
GVGLGOZIDCSQPN-PVHGPHFFSA-N,-6.6,-6.8,-6.6
NAPSCFZYZVSQHF-UHFFFAOYSA-N,-3.6,-4.2,-3.9
QIVBCDIJIAJPQS-VIFPVBQESA-N,-5.6,-5.9,-6.0
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-4.7,-5.2,-4.8
PJDFLNIOAUIZSL-YFKPBYRVSA-N,-3.9,-4.1,-3.9
HAPOVYFOVVWLRS-ZETCQYMHSA-N,-4.3,-4.3,-4.4
WMPXPUYPYQKQCX-UHFFFAOYSA-N,-5.6,-5.9,-5.6
GZSOSUNBTXMUFQ-YFAPSIMESA-N,-7.9,-8.0,-7.9
QRCJOCOSPZMDJY-BQBZGAKWSA-N,-4.1,-4.1,-4.0
FODQIVGFADUBKE-MRVPVSSYSA-N,-4.3,-4.1,-4.1
QELSKZZBTMNZEB-UHFFFAOYSA-N,-5.0,-5.0,-5.0
GVEAYVLWDAFXET-XGHATYIMSA-N,-7.1,-7.7,-7.7
BEWNZPMDJIGBED-GFCCVEGCSA-N,-5.9,-6.3,-6.2
UGQMRVRMYYASKQ-KQYNXXCUSA-N,-5.8,-6.2,-5.9
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,-5.6,-5.7,-5.8
GBBSUAFBMRNDJC-INIZCTEOSA-N,-6.7,-6.9,-6.5
WRJPSSPFHGNBMG-VIFPVBQESA-N,-4.2,-4.5,-4.5
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,-5.5,-5.5,-5.6
JPGQOUSTVILISH-PVQJCKRUSA-N,-4.1,-4.2,-4.2
DLGOEMSEDOSKAD-UHFFFAOYSA-N,-4.3,-4.3,-4.2
MOODSJOROWROTO-UHFFFAOYSA-N,-4.9,-5.4,-5.0
KBOPZPXVLCULAV-UHFFFAOYSA-N,-4.5,-4.6,-4.5
PUUSSSIBPPTKTP-UHFFFAOYSA-N,-4.9,-5.1,-4.9
ILROKGAXBGPFAI-UHFFFAOYSA-N,-5.2,-5.6,-5.2
