ligand,E1,E2,E3
FODQIVGFADUBKE-MRVPVSSYSA-N,-5.2,-4.6,-4.8
GVEAYVLWDAFXET-XGHATYIMSA-N,-7.6,-6.8,-7.0
QRCJOCOSPZMDJY-BQBZGAKWSA-N,-5.5,-4.4,-4.8
ILROKGAXBGPFAI-UHFFFAOYSA-N,-6.9,-5.7,-5.1
NAPSCFZYZVSQHF-UHFFFAOYSA-N,-5.5,-4.7,-3.9
GVGLGOZIDCSQPN-PVHGPHFFSA-N,-7.4,-6.8,-6.8
PJDFLNIOAUIZSL-YFKPBYRVSA-N,-4.8,-4.9,-4.3
KBOPZPXVLCULAV-UHFFFAOYSA-N,-6.3,-5.5,-5.6
WMPXPUYPYQKQCX-UHFFFAOYSA-N,-7.9,-6.5,-5.7
UGQMRVRMYYASKQ-KQYNXXCUSA-N,-7.7,-6.2,-6.6
BEWNZPMDJIGBED-GFCCVEGCSA-N,-8.5,-7.3,-6.0
WRJPSSPFHGNBMG-VIFPVBQESA-N,-5.9,-4.1,-4.7
GZSOSUNBTXMUFQ-YFAPSIMESA-N,-10.0,-8.0,-6.9
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,-7.3,-4.9,-4.8
QIVBCDIJIAJPQS-VIFPVBQESA-N,-7.0,-6.5,-5.6
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,-7.1,-5.8,-5.2
JWIXXNLOKOAAQT-UHFFFAOYSA-N,-6.1,-5.1,-4.7
DLGOEMSEDOSKAD-UHFFFAOYSA-N,-4.9,-4.6,-4.2
HAPOVYFOVVWLRS-ZETCQYMHSA-N,-5.4,-4.3,-4.0
PUUSSSIBPPTKTP-UHFFFAOYSA-N,-6.0,-4.9,-4.5
GBBSUAFBMRNDJC-INIZCTEOSA-N,-8.0,-6.6,-5.9
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-6.3,-5.5,-5.4
QELSKZZBTMNZEB-UHFFFAOYSA-N,-6.1,-5.6,-5.2
MOODSJOROWROTO-UHFFFAOYSA-N,-6.9,-5.6,-5.1
JPGQOUSTVILISH-PVQJCKRUSA-N,-5.3,-4.9,-4.1
