ligand,E1,E2,E3
GBBSUAFBMRNDJC-INIZCTEOSA-N,-7.0,-6.7,-6.9
WMPXPUYPYQKQCX-UHFFFAOYSA-N,-5.6,-5.9,-5.9
ILROKGAXBGPFAI-UHFFFAOYSA-N,-5.0,-5.3,-5.3
PUUSSSIBPPTKTP-UHFFFAOYSA-N,-5.0,-5.0,-5.0
DLGOEMSEDOSKAD-UHFFFAOYSA-N,-4.8,-4.4,-4.3
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-5.6,-5.9,-5.7
FODQIVGFADUBKE-MRVPVSSYSA-N,-5.3,-4.4,-4.4
UGQMRVRMYYASKQ-KQYNXXCUSA-N,-7.0,-6.7,-6.6
MOODSJOROWROTO-UHFFFAOYSA-N,-5.5,-6.3,-6.3
QELSKZZBTMNZEB-UHFFFAOYSA-N,-5.4,-4.9,-4.7
JPGQOUSTVILISH-PVQJCKRUSA-N,-5.1,-4.2,-4.5
QIVBCDIJIAJPQS-VIFPVBQESA-N,-6.1,-5.7,-5.8
HAPOVYFOVVWLRS-ZETCQYMHSA-N,-5.4,-5.5,-5.5
NAPSCFZYZVSQHF-UHFFFAOYSA-N,-3.7,-3.8,-3.7
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,-5.5,-5.8,-6.3
GVEAYVLWDAFXET-XGHATYIMSA-N,-6.9,-6.0,-5.4
QRCJOCOSPZMDJY-BQBZGAKWSA-N,-5.2,-4.2,-4.5
KBOPZPXVLCULAV-UHFFFAOYSA-N,-6.1,-5.1,-5.1
WRJPSSPFHGNBMG-VIFPVBQESA-N,-5.2,-4.9,-4.9
GVGLGOZIDCSQPN-PVHGPHFFSA-N,-6.5,-7.1,-7.0
PJDFLNIOAUIZSL-YFKPBYRVSA-N,-4.7,-4.1,-3.9
BEWNZPMDJIGBED-GFCCVEGCSA-N,-7.3,-6.3,-6.3
JWIXXNLOKOAAQT-UHFFFAOYSA-N,-5.0,-5.3,-5.2
GZSOSUNBTXMUFQ-YFAPSIMESA-N,-8.3,-7.3,-7.4
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,-5.0,-5.1,-5.1
