ligand,E1,E2,E3
GBBSUAFBMRNDJC-INIZCTEOSA-N,-6.9,-6.6,-6.9
WRJPSSPFHGNBMG-VIFPVBQESA-N,-5.6,-4.2,-5.0
PUUSSSIBPPTKTP-UHFFFAOYSA-N,-6.3,-4.1,-5.2
JPGQOUSTVILISH-PVQJCKRUSA-N,-5.2,-4.5,-4.4
GVEAYVLWDAFXET-XGHATYIMSA-N,-7.7,-5.8,-7.0
HAPOVYFOVVWLRS-ZETCQYMHSA-N,-5.9,-4.1,-5.1
ILROKGAXBGPFAI-UHFFFAOYSA-N,-5.9,-5.5,-5.8
QELSKZZBTMNZEB-UHFFFAOYSA-N,-5.8,-5.1,-5.1
DLGOEMSEDOSKAD-UHFFFAOYSA-N,-5.0,-4.1,-4.6
GZSOSUNBTXMUFQ-YFAPSIMESA-N,-9.4,-7.0,-8.4
UGQMRVRMYYASKQ-KQYNXXCUSA-N,-7.1,-5.6,-6.6
FODQIVGFADUBKE-MRVPVSSYSA-N,-4.9,-4.6,-4.8
WMPXPUYPYQKQCX-UHFFFAOYSA-N,-7.3,-5.7,-6.2
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,-6.1,-5.4,-5.9
GVGLGOZIDCSQPN-PVHGPHFFSA-N,-7.7,-6.0,-7.5
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,-6.1,-4.7,-6.0
NAPSCFZYZVSQHF-UHFFFAOYSA-N,-6.1,-3.9,-4.4
PJDFLNIOAUIZSL-YFKPBYRVSA-N,-4.7,-4.4,-4.6
JWIXXNLOKOAAQT-UHFFFAOYSA-N,-5.9,-5.7,-5.5
BEWNZPMDJIGBED-GFCCVEGCSA-N,-7.6,-6.6,-6.6
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-5.0,-6.0,-5.7
QRCJOCOSPZMDJY-BQBZGAKWSA-N,-5.2,-4.4,-4.7
QIVBCDIJIAJPQS-VIFPVBQESA-N,-5.6,-6.1,-6.5
MOODSJOROWROTO-UHFFFAOYSA-N,-6.8,-6.3,-6.1
KBOPZPXVLCULAV-UHFFFAOYSA-N,-6.1,-6.1,-5.5
