ligand,E1,E2,E3
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,-6.3,-6.1,-6.3
GVGLGOZIDCSQPN-PVHGPHFFSA-N,-7.3,-6.9,-7.7
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-6.2,-4.6,-5.3
GBBSUAFBMRNDJC-INIZCTEOSA-N,-8.2,-7.0,-7.0
DLGOEMSEDOSKAD-UHFFFAOYSA-N,-4.5,-4.3,-4.6
HAPOVYFOVVWLRS-ZETCQYMHSA-N,-5.5,-4.3,-4.5
MOODSJOROWROTO-UHFFFAOYSA-N,-5.5,-4.7,-5.8
UGQMRVRMYYASKQ-KQYNXXCUSA-N,-7.9,-6.3,-6.8
JPGQOUSTVILISH-PVQJCKRUSA-N,-4.8,-4.2,-4.4
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,-6.5,-5.8,-6.3
PJDFLNIOAUIZSL-YFKPBYRVSA-N,-4.5,-4.0,-4.0
JWIXXNLOKOAAQT-UHFFFAOYSA-N,-7.0,-4.9,-5.6
WRJPSSPFHGNBMG-VIFPVBQESA-N,-5.7,-4.2,-4.6
QELSKZZBTMNZEB-UHFFFAOYSA-N,-5.9,-5.2,-5.2
GVEAYVLWDAFXET-XGHATYIMSA-N,-0.4,-8.0,-7.7
NAPSCFZYZVSQHF-UHFFFAOYSA-N,-5.4,-4.8,-5.0
BEWNZPMDJIGBED-GFCCVEGCSA-N,-7.9,-6.4,-6.3
GZSOSUNBTXMUFQ-YFAPSIMESA-N,-7.8,-8.4,-8.6
WMPXPUYPYQKQCX-UHFFFAOYSA-N,-7.2,-6.3,-6.6
QIVBCDIJIAJPQS-VIFPVBQESA-N,-7.1,-5.8,-5.9
KBOPZPXVLCULAV-UHFFFAOYSA-N,-5.9,-5.3,-4.8
QRCJOCOSPZMDJY-BQBZGAKWSA-N,-4.5,-3.9,-4.5
PUUSSSIBPPTKTP-UHFFFAOYSA-N,-6.0,-4.5,-5.2
FODQIVGFADUBKE-MRVPVSSYSA-N,-4.8,-4.1,-4.2
ILROKGAXBGPFAI-UHFFFAOYSA-N,-6.2,-6.1,-6.2
