ligand,E1,E2,E3
GVJHHUAWPYXKBD-IEOSBIPESA-N,-7.8,-6.5,-6.4
YAKWPXVTIGTRJH-QMMMGPOBSA-N,-5.7,-4.8,-4.1
VXTWEDPZMSVFEF-MRVPVSSYSA-N,-6.0,-5.3,-5.3
DXHYQIJBUNRPJT-UHFFFAOYSA-N,-7.0,-6.1,-5.4
WXTMDXOMEHJXQO-UHFFFAOYSA-N,-6.3,-5.6,-5.7
HJLSLZFTEKNLFI-UHFFFAOYSA-N,-6.2,-5.6,-5.1
SXYIRMFQILZOAM-HVNFFKDJSA-N,-7.4,-5.7,-5.6
URNFTLVCQLRCMN-UHFFFAOYSA-N,-8.8,-8.0,-7.1
PRBORDFJHHAISJ-CYBMUJFWSA-N,-6.1,-5.1,-4.9
FGQFOYHRJSUHMR-UHFFFAOYSA-N,-7.1,-6.9,-6.3
ZVXBAHLOGZCFTP-UHFFFAOYSA-N,-8.9,-7.3,-5.9
MXRGZXBFSKSZPH-LURJTMIESA-N,-6.5,-5.6,-5.0
NJKDOADNQSYQEV-OCAPTIKFSA-N,-6.5,-5.5,-5.1
USRHYDPUVLEVMC-FQEVSTJZSA-N,-8.3,-7.2,-4.5
FSVJFNAIGNNGKK-KRWDZBQOSA-N,-9.1,-6.8,-6.3
GFWRVVCDTLRWPK-UHFFFAOYSA-N,-8.1,-6.9,-6.9
DTOSIQBPPRVQHS-PDBXOOCHSA-N,-6.0,-5.5,-4.5
OYCGKECKIVYHTN-UHFFFAOYSA-N,-7.2,-5.6,-5.5
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,-7.9,-6.7,-6.1
UDIIBEDMEYAVNG-ZKFPOVNWSA-N,-8.0,-5.9,-5.6
KPIQXPLWZCDIHI-ISLYRVAYSA-N,-7.6,-7.1,-6.4
PVBQYTCFVWZSJK-UHFFFAOYSA-N,-4.1,-4.1,-4.0
MDJFHRLTPRPZLY-UHFFFAOYSA-N,-5.9,-5.5,-5.2
UAUIUKWPKRJZJV-QPLHLKROSA-N,-11.7,-9.6,-8.4
BJVVMKUXKQHWJK-SSDOTTSWSA-N,-6.8,-4.6,-4.6
