ligand,E1,E2,E3
SXYIRMFQILZOAM-HVNFFKDJSA-N,-8.2,-8.1,-7.7
GFWRVVCDTLRWPK-UHFFFAOYSA-N,-9.8,-8.3,-8.6
PVBQYTCFVWZSJK-UHFFFAOYSA-N,-5.1,-5.1,-4.5
UDIIBEDMEYAVNG-ZKFPOVNWSA-N,-8.8,-9.0,-8.1
YAKWPXVTIGTRJH-QMMMGPOBSA-N,-6.1,-6.2,-6.0
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,-8.0,-7.9,-7.2
NJKDOADNQSYQEV-OCAPTIKFSA-N,-7.6,-7.2,-6.9
FGQFOYHRJSUHMR-UHFFFAOYSA-N,-8.2,-9.4,-9.5
BJVVMKUXKQHWJK-SSDOTTSWSA-N,-6.2,-6.8,-5.9
VXTWEDPZMSVFEF-MRVPVSSYSA-N,-6.2,-6.1,-5.5
URNFTLVCQLRCMN-UHFFFAOYSA-N,-10.3,-9.5,-9.5
KPIQXPLWZCDIHI-ISLYRVAYSA-N,-9.4,-9.4,-9.8
WXTMDXOMEHJXQO-UHFFFAOYSA-N,-6.3,-6.5,-6.1
MXRGZXBFSKSZPH-LURJTMIESA-N,-6.9,-7.4,-6.1
DTOSIQBPPRVQHS-PDBXOOCHSA-N,-6.5,-5.9,-5.9
ZVXBAHLOGZCFTP-UHFFFAOYSA-N,-8.9,-8.7,-8.5
DXHYQIJBUNRPJT-UHFFFAOYSA-N,-6.5,-6.7,-6.2
MDJFHRLTPRPZLY-UHFFFAOYSA-N,-6.9,-6.9,-6.4
PRBORDFJHHAISJ-CYBMUJFWSA-N,-6.2,-6.1,-6.0
FSVJFNAIGNNGKK-KRWDZBQOSA-N,-9.4,-9.3,-8.4
GVJHHUAWPYXKBD-IEOSBIPESA-N,-7.7,-6.5,-7.7
OYCGKECKIVYHTN-UHFFFAOYSA-N,-6.9,-6.9,-6.5
USRHYDPUVLEVMC-FQEVSTJZSA-N,-8.6,-6.9,-6.9
HJLSLZFTEKNLFI-UHFFFAOYSA-N,-6.4,-6.4,-5.8
UAUIUKWPKRJZJV-QPLHLKROSA-N,-9.7,-11.5,-12.5
