ligand,E1,E2,E3
USRHYDPUVLEVMC-FQEVSTJZSA-N,-5.6,-7.7,-8.3
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,-7.2,-7.5,-7.7
HJLSLZFTEKNLFI-UHFFFAOYSA-N,-5.2,-5.8,-6.2
GFWRVVCDTLRWPK-UHFFFAOYSA-N,-7.7,-7.8,-8.3
UAUIUKWPKRJZJV-QPLHLKROSA-N,-11.1,-9.9,-10.7
BJVVMKUXKQHWJK-SSDOTTSWSA-N,-6.3,-5.8,-6.4
MXRGZXBFSKSZPH-LURJTMIESA-N,-6.3,-6.1,-6.5
DTOSIQBPPRVQHS-PDBXOOCHSA-N,-5.4,-5.7,-6.3
DXHYQIJBUNRPJT-UHFFFAOYSA-N,-6.3,-6.1,-6.8
PVBQYTCFVWZSJK-UHFFFAOYSA-N,-4.2,-4.5,-4.2
VXTWEDPZMSVFEF-MRVPVSSYSA-N,-5.5,-5.8,-5.9
FGQFOYHRJSUHMR-UHFFFAOYSA-N,-7.5,-7.2,-7.3
KPIQXPLWZCDIHI-ISLYRVAYSA-N,-8.1,-8.2,-7.9
ZVXBAHLOGZCFTP-UHFFFAOYSA-N,-7.8,-7.4,-9.0
NJKDOADNQSYQEV-OCAPTIKFSA-N,-6.6,-6.0,-6.5
MDJFHRLTPRPZLY-UHFFFAOYSA-N,-5.7,-6.1,-5.7
GVJHHUAWPYXKBD-IEOSBIPESA-N,-6.7,-7.5,-7.6
OYCGKECKIVYHTN-UHFFFAOYSA-N,-6.3,-6.5,-7.3
URNFTLVCQLRCMN-UHFFFAOYSA-N,-8.8,-8.1,-8.9
FSVJFNAIGNNGKK-KRWDZBQOSA-N,-7.8,-8.3,-9.2
UDIIBEDMEYAVNG-ZKFPOVNWSA-N,-7.9,-6.8,-7.6
WXTMDXOMEHJXQO-UHFFFAOYSA-N,-5.7,-5.9,-6.0
PRBORDFJHHAISJ-CYBMUJFWSA-N,-5.9,-5.6,-5.8
SXYIRMFQILZOAM-HVNFFKDJSA-N,-7.5,-6.8,-7.6
YAKWPXVTIGTRJH-QMMMGPOBSA-N,-5.3,-6.0,-5.8
