ligand,E1,E2,E3
URNFTLVCQLRCMN-UHFFFAOYSA-N,-8.4,-8.8,-6.4
ZVXBAHLOGZCFTP-UHFFFAOYSA-N,-6.4,-7.1,-8.7
BJVVMKUXKQHWJK-SSDOTTSWSA-N,-7.4,-6.5,-7.3
DXHYQIJBUNRPJT-UHFFFAOYSA-N,-5.4,-6.9,-7.3
GFWRVVCDTLRWPK-UHFFFAOYSA-N,-7.2,-6.7,-7.9
FSVJFNAIGNNGKK-KRWDZBQOSA-N,-6.9,-6.8,-3.4
KPIQXPLWZCDIHI-ISLYRVAYSA-N,-7.6,-6.3,-5.4
UAUIUKWPKRJZJV-QPLHLKROSA-N,-2.0,-7.8,14.2
USRHYDPUVLEVMC-FQEVSTJZSA-N,-5.0,-5.1,-7.7
VXTWEDPZMSVFEF-MRVPVSSYSA-N,-6.8,-6.9,-6.4
UDIIBEDMEYAVNG-ZKFPOVNWSA-N,-5.9,-7.8,2.7
HJLSLZFTEKNLFI-UHFFFAOYSA-N,-5.3,-5.2,-6.5
PVBQYTCFVWZSJK-UHFFFAOYSA-N,-5.2,-5.3,-4.5
DTOSIQBPPRVQHS-PDBXOOCHSA-N,-4.6,-5.5,-6.7
PRBORDFJHHAISJ-CYBMUJFWSA-N,-7.4,-7.3,-6.8
FGQFOYHRJSUHMR-UHFFFAOYSA-N,-6.6,-7.4,-6.1
WXTMDXOMEHJXQO-UHFFFAOYSA-N,-7.3,-7.3,-6.1
OYCGKECKIVYHTN-UHFFFAOYSA-N,-5.4,-5.4,-7.1
MXRGZXBFSKSZPH-LURJTMIESA-N,-5.6,-5.2,-7.9
MDJFHRLTPRPZLY-UHFFFAOYSA-N,-5.2,-5.4,-6.5
YAKWPXVTIGTRJH-QMMMGPOBSA-N,-5.9,-5.8,-5.8
GVJHHUAWPYXKBD-IEOSBIPESA-N,-7.5,-5.9,-7.6
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,-6.9,-6.9,-7.7
SXYIRMFQILZOAM-HVNFFKDJSA-N,-6.4,-6.6,-7.6
NJKDOADNQSYQEV-OCAPTIKFSA-N,-5.5,-6.8,0.4
