ligand,E1,E2,E3
DB12328,-6.5,-6.4,-6.3
NPRHVSBSZMAEIN-NRFANRHFSA-N,-6.1,-6.3,-6.5
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-5.3,-5.2,-5.5
FVRDYQYEVDDKCR-DBRKOABJSA-N,-6.4,-6.7,-6.7
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-7.3,-7.4,-8.4
VKQFCGNPDRICFG-SFHVURJKSA-N,-6.9,-7.4,-7.1
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-5.3,-5.7,-5.7
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-7.2,-7.2,-7.8
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-7.7,-8.0,-8.1
SQVIAVUSQAWMKL-JTQLQIEISA-N,-5.7,-5.8,-6.2
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-6.0,-6.2,-6.4
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-7.1,-7.5,-7.6
MYWUZJCMWCOHBA-SECBINFHSA-N,-5.0,-5.2,-5.8
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-6.2,-6.2,-6.4
KUEUWHJGRZKESU-UHFFFAOYSA-N,-7.7,-8.6,-7.9
STECJAGHUSJQJN-VJQRDGCPSA-N,-6.9,-7.2,-7.3
MDKGKXOCJGEUJW-VIFPVBQESA-N,-6.6,-7.2,-7.2
JIEKMACRVQTPRC-UHFFFAOYSA-N,-7.1,-7.7,-8.0
MXUNKHLAEDCYJL-JTQLQIEISA-N,-6.0,-7.1,-6.8
SPOAFZKFCYREMW-UDHCHFQSSA-N,-5.8,-6.7,-6.7
