ligand,E1,E2,E3
NENBAISIHCWPKP-UHFFFAOYSA-N,-6.3,-6.5,-5.8
HDOZVRUNCMBHFH-UHFFFAOYSA-N,-7.9,-6.1,-5.3
AGBQKNBQESQNJD-ZETCQYMHSA-N,-5.3,-4.9,-4.7
XOVJAYNMQDTIJD-MRVPVSSYSA-N,-7.2,-5.1,-5.1
CTRLABGOLIVAIY-UHFFFAOYSA-N,-8.3,-7.7,-6.1
ZKMNUMMKYBVTFN-HNNXBMFYSA-N,-7.5,-5.8,-5.4
JRFKIOFLCXKVOT-UHFFFAOYSA-N,-5.6,-5.5,-5.0
UCHDWCPVSPXUMX-TZIWLTJVSA-N,-9.6,-8.2,-7.0
GXDALQBWZGODGZ-UHFFFAOYSA-N,-9.8,-7.9,-6.9
LVWZTYCIRDMTEY-UHFFFAOYSA-N,-6.9,-5.7,-5.5
PFENFDGYVLAFBR-UHFFFAOYSA-N,-7.6,-6.9,-6.3
STQGQHZAVUOBTE-VGBVRHCVSA-N,-9.9,-7.1,-6.6
RDOIQAHITMMDAJ-UHFFFAOYSA-N,-9.3,-7.4,-6.5
DPNGIIPSQYKWQA-AVGNSLFASA-N,-7.5,-6.8,-5.9
IUWVALYLNVXWKX-UHFFFAOYSA-N,-5.8,-5.4,-4.8
HTMIBDQKFHUPSX-AWEZNQCLSA-N,-7.3,-6.3,-5.6
JQKHJQJVKRFMCO-SNAWJCMRSA-N,-7.5,-6.7,-6.2
CBHCDHNUZWWAPP-OAHLLOKOSA-N,-7.8,-6.3,-6.0
ISEHJSHTIVKELA-VDFGSOQMSA-N,-6.3,-5.3,-4.2
MOYGZHXDRJNJEP-HHHXNRCGSA-N,-8.6,-6.9,-7.1
WBLPIVIXQOFTPQ-HTRCEHHLSA-N,-5.5,-4.8,-4.0
OOBHFESNSZDWIU-ONGXEEELSA-N,-6.4,-5.6,-4.9
VWFCHDSQECPREK-LURJTMIESA-N,-6.3,-5.9,-5.5
RMMXTBMQSGEXHJ-UHFFFAOYSA-N,-6.7,-5.0,-4.8
