ligand,E1,E2,E3
OOBHFESNSZDWIU-ONGXEEELSA-N,-6.6,-5.5,-5.0
VWFCHDSQECPREK-LURJTMIESA-N,-6.1,-5.2,-4.6
JQKHJQJVKRFMCO-SNAWJCMRSA-N,-7.5,-7.2,-5.8
PFENFDGYVLAFBR-UHFFFAOYSA-N,-7.6,-7.7,-5.5
ZKMNUMMKYBVTFN-HNNXBMFYSA-N,-7.6,-7.1,-5.3
HTMIBDQKFHUPSX-AWEZNQCLSA-N,-7.9,-7.1,-5.4
UCHDWCPVSPXUMX-TZIWLTJVSA-N,-10.1,-10.5,-7.0
GXDALQBWZGODGZ-UHFFFAOYSA-N,-10.3,-10.2,-7.2
IUWVALYLNVXWKX-UHFFFAOYSA-N,-6.5,-5.2,-4.7
ISEHJSHTIVKELA-VDFGSOQMSA-N,-6.5,-5.4,-4.6
MOYGZHXDRJNJEP-HHHXNRCGSA-N,-10.3,-9.7,-7.1
CBHCDHNUZWWAPP-OAHLLOKOSA-N,-8.2,-7.6,-5.6
RDOIQAHITMMDAJ-UHFFFAOYSA-N,-10.3,-9.5,-6.5
DPNGIIPSQYKWQA-AVGNSLFASA-N,-8.2,-7.4,-5.6
WBLPIVIXQOFTPQ-HTRCEHHLSA-N,-4.9,-4.1,-4.7
STQGQHZAVUOBTE-VGBVRHCVSA-N,-10.2,-9.7,-6.5
NENBAISIHCWPKP-UHFFFAOYSA-N,-6.3,-5.6,-5.3
LVWZTYCIRDMTEY-UHFFFAOYSA-N,-6.5,-7.0,-4.9
CTRLABGOLIVAIY-UHFFFAOYSA-N,-8.6,-7.7,-6.2
AGBQKNBQESQNJD-ZETCQYMHSA-N,-5.3,-4.9,-4.2
JRFKIOFLCXKVOT-UHFFFAOYSA-N,-5.6,-4.7,-4.3
XOVJAYNMQDTIJD-MRVPVSSYSA-N,-7.0,-5.6,-5.3
HDOZVRUNCMBHFH-UHFFFAOYSA-N,-8.2,-7.2,-5.4
RMMXTBMQSGEXHJ-UHFFFAOYSA-N,-6.2,-6.2,-4.9
