ligand,E1,E2,E3
MOYGZHXDRJNJEP-HHHXNRCGSA-N,-9.3,-6.9,-7.7
NENBAISIHCWPKP-UHFFFAOYSA-N,-6.0,-5.9,-5.9
OOBHFESNSZDWIU-ONGXEEELSA-N,-6.5,-5.4,-5.3
XOVJAYNMQDTIJD-MRVPVSSYSA-N,-6.0,-4.9,-5.8
HTMIBDQKFHUPSX-AWEZNQCLSA-N,-6.3,-5.7,-6.4
IUWVALYLNVXWKX-UHFFFAOYSA-N,-5.7,-4.9,-5.0
RMMXTBMQSGEXHJ-UHFFFAOYSA-N,-5.9,-5.4,-5.5
ZKMNUMMKYBVTFN-HNNXBMFYSA-N,-6.3,-5.4,-5.9
HDOZVRUNCMBHFH-UHFFFAOYSA-N,-6.1,-6.1,-6.1
PFENFDGYVLAFBR-UHFFFAOYSA-N,-6.8,-5.4,-6.5
DPNGIIPSQYKWQA-AVGNSLFASA-N,-6.6,-6.1,-7.2
JRFKIOFLCXKVOT-UHFFFAOYSA-N,-5.7,-5.1,-5.0
RDOIQAHITMMDAJ-UHFFFAOYSA-N,-8.5,-6.1,-8.2
WBLPIVIXQOFTPQ-HTRCEHHLSA-N,-4.7,-4.2,-4.5
VWFCHDSQECPREK-LURJTMIESA-N,-5.9,-5.2,-5.8
CBHCDHNUZWWAPP-OAHLLOKOSA-N,-6.8,-5.8,-6.7
LVWZTYCIRDMTEY-UHFFFAOYSA-N,-6.5,-5.5,-6.3
GXDALQBWZGODGZ-UHFFFAOYSA-N,-9.0,-7.0,-7.7
CTRLABGOLIVAIY-UHFFFAOYSA-N,-7.3,-7.1,-6.9
AGBQKNBQESQNJD-ZETCQYMHSA-N,-5.3,-4.8,-4.8
UCHDWCPVSPXUMX-TZIWLTJVSA-N,-9.7,-7.1,-8.3
STQGQHZAVUOBTE-VGBVRHCVSA-N,-7.7,-6.3,-8.4
ISEHJSHTIVKELA-VDFGSOQMSA-N,-6.2,-4.5,-5.1
JQKHJQJVKRFMCO-SNAWJCMRSA-N,-7.9,-5.7,-6.3
