ligand,E1,E2,E3
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-5.3,-5.7,-5.1
SPOAFZKFCYREMW-UDHCHFQSSA-N,-6.5,-6.3,-6.0
FVRDYQYEVDDKCR-DBRKOABJSA-N,-6.4,-6.9,-6.2
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-6.5,-6.3,-6.0
JIEKMACRVQTPRC-UHFFFAOYSA-N,-7.7,-6.6,-7.3
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-6.8,-7.7,-7.1
KUEUWHJGRZKESU-UHFFFAOYSA-N,-7.9,-6.5,-6.8
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-6.2,-5.9,-6.0
MDKGKXOCJGEUJW-VIFPVBQESA-N,-7.0,-7.1,-6.8
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-5.3,-3.6,-5.6
MYWUZJCMWCOHBA-SECBINFHSA-N,-5.7,-5.8,-5.3
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-6.9,-6.5,-7.8
SQVIAVUSQAWMKL-JTQLQIEISA-N,-5.6,-6.2,-5.7
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-7.4,-7.0,-7.3
STECJAGHUSJQJN-VJQRDGCPSA-N,-7.0,-7.6,-7.0
VKQFCGNPDRICFG-SFHVURJKSA-N,-6.5,-5.3,-6.4
MXUNKHLAEDCYJL-JTQLQIEISA-N,-6.2,-7.0,-6.9
DB12328,-6.4,-4.4,-6.1
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-7.3,-7.1,-7.8
NPRHVSBSZMAEIN-NRFANRHFSA-N,-5.5,-6.0,-6.7
