ligand,E1,E2,E3
KUEUWHJGRZKESU-UHFFFAOYSA-N,-9.7,-8.7,-8.2
MYWUZJCMWCOHBA-SECBINFHSA-N,-5.4,-5.3,-5.3
FVRDYQYEVDDKCR-DBRKOABJSA-N,-7.2,-8.5,-7.1
DB12328,-7.0,-7.6,-6.2
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-7.3,-6.4,-6.3
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-5.6,-5.8,-5.2
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-8.7,-8.5,-8.2
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-5.9,-5.8,-5.4
VKQFCGNPDRICFG-SFHVURJKSA-N,-7.8,-8.1,-6.9
MXUNKHLAEDCYJL-JTQLQIEISA-N,-7.0,-7.4,-6.5
JIEKMACRVQTPRC-UHFFFAOYSA-N,-8.8,-8.4,-8.4
STECJAGHUSJQJN-VJQRDGCPSA-N,-6.9,-7.7,-7.7
SQVIAVUSQAWMKL-JTQLQIEISA-N,-6.1,-6.3,-5.5
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-8.7,-8.2,-8.1
NPRHVSBSZMAEIN-NRFANRHFSA-N,-6.9,-6.2,-6.8
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-8.2,-7.9,-7.5
MDKGKXOCJGEUJW-VIFPVBQESA-N,-7.6,-7.3,-7.2
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-6.0,-6.4,-6.5
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-8.5,-8.5,-8.2
SPOAFZKFCYREMW-UDHCHFQSSA-N,-7.3,-7.0,-6.9
