ligand,E1,E2,E3
NPRHVSBSZMAEIN-NRFANRHFSA-N,-6.3,-6.6,-6.5
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-7.7,-7.9,-8.1
SPOAFZKFCYREMW-UDHCHFQSSA-N,-5.8,-6.7,-6.3
VKQFCGNPDRICFG-SFHVURJKSA-N,-7.0,-7.4,-7.1
MYWUZJCMWCOHBA-SECBINFHSA-N,-5.1,-5.3,-5.8
STECJAGHUSJQJN-VJQRDGCPSA-N,-7.4,-7.4,-7.3
MXUNKHLAEDCYJL-JTQLQIEISA-N,-6.0,-7.1,-6.8
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-7.2,-7.4,-7.5
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-7.2,-7.2,-7.7
FVRDYQYEVDDKCR-DBRKOABJSA-N,-6.4,-6.7,-6.7
KUEUWHJGRZKESU-UHFFFAOYSA-N,-7.2,-8.6,-8.2
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-6.2,-6.2,-6.4
SQVIAVUSQAWMKL-JTQLQIEISA-N,-5.8,-6.0,-6.3
DB12328,-6.5,-6.4,-6.3
MDKGKXOCJGEUJW-VIFPVBQESA-N,-6.3,-7.2,-7.2
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-7.3,-7.4,-8.4
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-6.0,-6.3,-6.4
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-5.3,-5.2,-5.5
JIEKMACRVQTPRC-UHFFFAOYSA-N,-7.7,-7.7,-8.0
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-5.4,-5.7,-5.7
