ligand,E1,E2,E3
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-5.3,-5.2,-5.5
SPOAFZKFCYREMW-UDHCHFQSSA-N,-6.0,-7.0,-6.7
SQVIAVUSQAWMKL-JTQLQIEISA-N,-5.8,-5.8,-6.3
JIEKMACRVQTPRC-UHFFFAOYSA-N,-7.1,-7.7,-7.9
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-5.8,-6.3,-6.3
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-7.8,-7.4,-7.5
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-5.4,-5.7,-5.7
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-7.2,-7.2,-7.8
MXUNKHLAEDCYJL-JTQLQIEISA-N,-6.0,-7.1,-6.7
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-7.3,-7.4,-8.4
DB12328,-6.5,-6.4,-6.3
NPRHVSBSZMAEIN-NRFANRHFSA-N,-6.1,-6.3,-6.5
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-5.9,-6.5,-6.3
FVRDYQYEVDDKCR-DBRKOABJSA-N,-6.4,-6.7,-6.7
MYWUZJCMWCOHBA-SECBINFHSA-N,-5.0,-5.3,-5.9
VKQFCGNPDRICFG-SFHVURJKSA-N,-7.0,-7.4,-7.1
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-7.7,-8.1,-8.1
STECJAGHUSJQJN-VJQRDGCPSA-N,-6.9,-7.1,-7.1
KUEUWHJGRZKESU-UHFFFAOYSA-N,-7.2,-8.3,-7.9
MDKGKXOCJGEUJW-VIFPVBQESA-N,-7.4,-7.2,-7.2
