ligand,E1,E2,E3
MDKGKXOCJGEUJW-VIFPVBQESA-N,-6.3,-7.2,-7.1
SPOAFZKFCYREMW-UDHCHFQSSA-N,-6.4,-6.7,-6.7
STECJAGHUSJQJN-VJQRDGCPSA-N,-6.9,-7.2,-7.2
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-5.8,-6.3,-6.4
KUEUWHJGRZKESU-UHFFFAOYSA-N,-7.5,-8.4,-7.7
MYWUZJCMWCOHBA-SECBINFHSA-N,-4.9,-5.3,-5.8
DB12328,-6.5,-6.4,-6.4
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-7.3,-7.4,-8.4
MXUNKHLAEDCYJL-JTQLQIEISA-N,-5.8,-7.1,-6.9
VKQFCGNPDRICFG-SFHVURJKSA-N,-7.0,-6.1,-7.1
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-7.7,-8.1,-8.1
SQVIAVUSQAWMKL-JTQLQIEISA-N,-5.7,-5.8,-6.3
FVRDYQYEVDDKCR-DBRKOABJSA-N,-6.4,-6.7,-6.7
NPRHVSBSZMAEIN-NRFANRHFSA-N,-6.3,-6.3,-6.4
JIEKMACRVQTPRC-UHFFFAOYSA-N,-7.1,-7.7,-8.0
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-5.3,-5.7,-5.7
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-5.3,-5.2,-5.5
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-5.7,-6.5,-6.3
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-7.2,-7.2,-7.8
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-7.2,-7.4,-7.4
