ligand,energy,binding score
RMMXTBMQSGEXHJ-UHFFFAOYSA-N,-6.5,30491.27
JRFKIOFLCXKVOT-UHFFFAOYSA-N,-5.9,23793.5
UCHDWCPVSPXUMX-TZIWLTJVSA-N,-9.5,19678.12
NENBAISIHCWPKP-UHFFFAOYSA-N,-6.1,20605.93
CTRLABGOLIVAIY-UHFFFAOYSA-N,-8.5,24378.03
CBHCDHNUZWWAPP-OAHLLOKOSA-N,-8.0,20059.1
RDOIQAHITMMDAJ-UHFFFAOYSA-N,-9.2,19934.15
ZKMNUMMKYBVTFN-HNNXBMFYSA-N,-7.2,18244.49
HDOZVRUNCMBHFH-UHFFFAOYSA-N,-7.6,22884.44
DPNGIIPSQYKWQA-AVGNSLFASA-N,-7.2,28330.84
GXDALQBWZGODGZ-UHFFFAOYSA-N,-9.1,23146.36
PFENFDGYVLAFBR-UHFFFAOYSA-N,-7.5,39374.86
JQKHJQJVKRFMCO-SNAWJCMRSA-N,-7.5,22756.33
ISEHJSHTIVKELA-VDFGSOQMSA-N,-6.2,24699.83
WBLPIVIXQOFTPQ-HTRCEHHLSA-N,-5.5,30535.67
AGBQKNBQESQNJD-ZETCQYMHSA-N,-4.8,30980.6
LVWZTYCIRDMTEY-UHFFFAOYSA-N,-6.7,23996.32
HTMIBDQKFHUPSX-AWEZNQCLSA-N,-7.7,18714.14
STQGQHZAVUOBTE-VGBVRHCVSA-N,-10.3,26700.3
MOYGZHXDRJNJEP-HHHXNRCGSA-N,-9.1,24121.83
IUWVALYLNVXWKX-UHFFFAOYSA-N,-6.1,29493.18
XOVJAYNMQDTIJD-MRVPVSSYSA-N,-6.7,28516.51
OOBHFESNSZDWIU-ONGXEEELSA-N,-6.6,25362.02
VWFCHDSQECPREK-LURJTMIESA-N,-6.7,33738.92
NAPSCFZYZVSQHF-UHFFFAOYSA-N,-5.4,29597.36
QIVBCDIJIAJPQS-VIFPVBQESA-N,-6.9,35099.96
QRCJOCOSPZMDJY-BQBZGAKWSA-N,-5.2,32200.17
KBOPZPXVLCULAV-UHFFFAOYSA-N,-6.0,40739.04
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,-7.5,23397.76
DLGOEMSEDOSKAD-UHFFFAOYSA-N,-5.2,30680.32
HAPOVYFOVVWLRS-ZETCQYMHSA-N,-5.7,29759.15
WMPXPUYPYQKQCX-UHFFFAOYSA-N,-7.5,28377.93
FODQIVGFADUBKE-MRVPVSSYSA-N,-5.0,27337.58
GVGLGOZIDCSQPN-PVHGPHFFSA-N,-7.4,17750.28
WRJPSSPFHGNBMG-VIFPVBQESA-N,-5.5,28525.81
JPGQOUSTVILISH-PVQJCKRUSA-N,-5.2,29906.95
QELSKZZBTMNZEB-UHFFFAOYSA-N,-5.9,32485.86
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-6.2,24579.69
UGQMRVRMYYASKQ-KQYNXXCUSA-N,-7.5,34235.95
ILROKGAXBGPFAI-UHFFFAOYSA-N,-7.5,17323.96
PJDFLNIOAUIZSL-YFKPBYRVSA-N,-4.9,28653.55
MOODSJOROWROTO-UHFFFAOYSA-N,-6.7,40367.98
BEWNZPMDJIGBED-GFCCVEGCSA-N,-8.5,29133.55
JWIXXNLOKOAAQT-UHFFFAOYSA-N,-6.3,22370.43
GZSOSUNBTXMUFQ-YFAPSIMESA-N,-9.6,24877.16
PUUSSSIBPPTKTP-UHFFFAOYSA-N,-5.6,22903.95
GBBSUAFBMRNDJC-INIZCTEOSA-N,-8.5,25947.53
GVEAYVLWDAFXET-XGHATYIMSA-N,-8.7,23491.67
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,-7.7,22167.0
NJKDOADNQSYQEV-OCAPTIKFSA-N,-6.7,30801.26
DTOSIQBPPRVQHS-PDBXOOCHSA-N,-6.1,24999.67
GVJHHUAWPYXKBD-IEOSBIPESA-N,-7.8,18288.54
DXHYQIJBUNRPJT-UHFFFAOYSA-N,-6.9,23937.94
FGQFOYHRJSUHMR-UHFFFAOYSA-N,-7.3,31953.44
USRHYDPUVLEVMC-FQEVSTJZSA-N,-8.4,24361.76
URNFTLVCQLRCMN-UHFFFAOYSA-N,-9.1,24617.83
ZVXBAHLOGZCFTP-UHFFFAOYSA-N,-8.9,34703.36
HJLSLZFTEKNLFI-UHFFFAOYSA-N,-6.1,27552.32
UDIIBEDMEYAVNG-ZKFPOVNWSA-N,-7.9,27302.84
MDJFHRLTPRPZLY-UHFFFAOYSA-N,-6.1,27720.41
YAKWPXVTIGTRJH-QMMMGPOBSA-N,-5.8,31978.08
MXRGZXBFSKSZPH-LURJTMIESA-N,-6.5,32845.24
SXYIRMFQILZOAM-HVNFFKDJSA-N,-7.6,22364.73
WXTMDXOMEHJXQO-UHFFFAOYSA-N,-6.0,41385.58
PRBORDFJHHAISJ-CYBMUJFWSA-N,-6.1,24340.05
UAUIUKWPKRJZJV-QPLHLKROSA-N,-11.3,17375.63
PVBQYTCFVWZSJK-UHFFFAOYSA-N,-4.5,28310.11
GFWRVVCDTLRWPK-UHFFFAOYSA-N,-8.3,30546.36
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,-7.7,26304.92
FSVJFNAIGNNGKK-KRWDZBQOSA-N,-9.2,25465.08
BJVVMKUXKQHWJK-SSDOTTSWSA-N,-6.4,35936.87
OYCGKECKIVYHTN-UHFFFAOYSA-N,-7.3,29267.62
VXTWEDPZMSVFEF-MRVPVSSYSA-N,-5.9,24502.76
KPIQXPLWZCDIHI-ISLYRVAYSA-N,-8.2,25140.11
MYWUZJCMWCOHBA-SECBINFHSA-N,-5.8,25278.97
KUEUWHJGRZKESU-UHFFFAOYSA-N,-8.3,21717.57
NPRHVSBSZMAEIN-NRFANRHFSA-N,-6.4,24618.68
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-8.1,30777.38
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-7.8,16008.11
MDKGKXOCJGEUJW-VIFPVBQESA-N,-7.4,26113.91
VKQFCGNPDRICFG-SFHVURJKSA-N,-7.1,25590.42
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-6.6,20719.21
JIEKMACRVQTPRC-UHFFFAOYSA-N,-8.0,25513.52
MXUNKHLAEDCYJL-JTQLQIEISA-N,-7.0,27588.87
STECJAGHUSJQJN-VJQRDGCPSA-N,-7.4,17818.99
SPOAFZKFCYREMW-UDHCHFQSSA-N,-6.7,33835.84
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-5.5,22729.6
FVRDYQYEVDDKCR-DBRKOABJSA-N,-6.7,28670.32
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-8.4,31770.26
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-5.7,31592.76
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-6.4,29282.05
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-7.3,33556.92
DB12328,-6.5,29760.46
SQVIAVUSQAWMKL-JTQLQIEISA-N,-6.3,28596.34
UIDWQGRXEVDFCA-XCVCLJGOSA-N,-7.4,21978.46
PCOBBVZJEWWZFR-UHFFFAOYSA-N,-7.8,27004.43
JKOQGQFVAUAYPM-UHFFFAOYSA-N,-4.9,16997.01
NYPYHUZRZVSYKL-ZETCQYMHSA-N,-5.7,27735.63
PHIQHXFUZVPYII-ZCFIWIBFSA-N,-4.7,36748.29
QQOBRRFOVWGIMD-OJAKKHQRSA-N,-7.3,34874.36
PSWFFKRAVBDQEG-YGQNSOCVSA-N,-8.4,25521.52
OSASVXMJTNOKOY-UHFFFAOYSA-N,-4.5,31499.41
KVEZIRCKNOTGKY-UHFFFAOYSA-N,-6.6,29768.98
ZXFWVUHYOBPQHY-YUMQZZPRSA-N,-6.0,28972.81
HWHLPVGTWGOCJO-FQEVSTJZSA-N,-7.5,18931.28
KWTSXDURSIMDCE-QMMMGPOBSA-N,-5.8,31530.22
MCPKSFINULVDNX-UHFFFAOYSA-N,-8.3,24600.47
WDDPHFBMKLOVOX-AYQXTPAHSA-N,-7.2,24865.14
ORTYMGHCFWKXHO-UHFFFAOYSA-N,-5.7,37240.5
