ligand,energy,binding score
LVWZTYCIRDMTEY-UHFFFAOYSA-N,-7.7,18163.05
STQGQHZAVUOBTE-VGBVRHCVSA-N,-11.1,22466.09
GXDALQBWZGODGZ-UHFFFAOYSA-N,-10.3,15980.29
RDOIQAHITMMDAJ-UHFFFAOYSA-N,-10.5,16380.11
RMMXTBMQSGEXHJ-UHFFFAOYSA-N,-6.8,25123.36
HDOZVRUNCMBHFH-UHFFFAOYSA-N,-7.7,21042.32
DPNGIIPSQYKWQA-AVGNSLFASA-N,-8.8,21489.66
AGBQKNBQESQNJD-ZETCQYMHSA-N,-5.6,20326.74
PFENFDGYVLAFBR-UHFFFAOYSA-N,-8.2,28175.55
UCHDWCPVSPXUMX-TZIWLTJVSA-N,-10.8,17953.01
ISEHJSHTIVKELA-VDFGSOQMSA-N,-5.9,16067.34
CTRLABGOLIVAIY-UHFFFAOYSA-N,-9.0,17044.18
XOVJAYNMQDTIJD-MRVPVSSYSA-N,-7.5,19339.45
HTMIBDQKFHUPSX-AWEZNQCLSA-N,-7.9,12139.76
JRFKIOFLCXKVOT-UHFFFAOYSA-N,-6.4,16827.3
CBHCDHNUZWWAPP-OAHLLOKOSA-N,-8.3,12854.06
NENBAISIHCWPKP-UHFFFAOYSA-N,-7.4,17808.55
ZKMNUMMKYBVTFN-HNNXBMFYSA-N,-7.5,10763.04
JQKHJQJVKRFMCO-SNAWJCMRSA-N,-8.4,17701.51
IUWVALYLNVXWKX-UHFFFAOYSA-N,-6.2,23571.77
WBLPIVIXQOFTPQ-HTRCEHHLSA-N,-5.8,22857.48
VWFCHDSQECPREK-LURJTMIESA-N,-7.6,27217.02
MOYGZHXDRJNJEP-HHHXNRCGSA-N,-10.4,19035.52
OOBHFESNSZDWIU-ONGXEEELSA-N,-6.5,17694.98
PUUSSSIBPPTKTP-UHFFFAOYSA-N,-7.1,16440.56
ILROKGAXBGPFAI-UHFFFAOYSA-N,-7.4,11685.26
HAPOVYFOVVWLRS-ZETCQYMHSA-N,-6.1,18166.43
NAPSCFZYZVSQHF-UHFFFAOYSA-N,-5.7,22940.86
WMPXPUYPYQKQCX-UHFFFAOYSA-N,-8.0,20410.37
JWIXXNLOKOAAQT-UHFFFAOYSA-N,-6.8,14123.07
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,-7.3,17922.86
MOODSJOROWROTO-UHFFFAOYSA-N,-7.2,24254.13
UGQMRVRMYYASKQ-KQYNXXCUSA-N,-8.9,29715.85
QRCJOCOSPZMDJY-BQBZGAKWSA-N,-5.5,23372.11
PJDFLNIOAUIZSL-YFKPBYRVSA-N,-5.0,20730.87
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-6.7,22190.37
GBBSUAFBMRNDJC-INIZCTEOSA-N,-9.5,15163.65
KBOPZPXVLCULAV-UHFFFAOYSA-N,-6.5,33766.9
WRJPSSPFHGNBMG-VIFPVBQESA-N,-6.1,19164.4
QELSKZZBTMNZEB-UHFFFAOYSA-N,-6.0,24770.74
JPGQOUSTVILISH-PVQJCKRUSA-N,-4.9,21903.41
GZSOSUNBTXMUFQ-YFAPSIMESA-N,-11.3,19269.84
GVEAYVLWDAFXET-XGHATYIMSA-N,-10.2,17844.75
DLGOEMSEDOSKAD-UHFFFAOYSA-N,-6.3,20318.04
FODQIVGFADUBKE-MRVPVSSYSA-N,-5.0,19111.15
GVGLGOZIDCSQPN-PVHGPHFFSA-N,-9.1,16099.68
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,-8.1,19228.53
BEWNZPMDJIGBED-GFCCVEGCSA-N,-7.9,22809.36
QIVBCDIJIAJPQS-VIFPVBQESA-N,-7.3,28354.09
PVBQYTCFVWZSJK-UHFFFAOYSA-N,-5.1,19378.9
SXYIRMFQILZOAM-HVNFFKDJSA-N,-8.2,18261.19
MXRGZXBFSKSZPH-LURJTMIESA-N,-7.5,27957.63
FGQFOYHRJSUHMR-UHFFFAOYSA-N,-8.6,26188.1
URNFTLVCQLRCMN-UHFFFAOYSA-N,-10.5,18062.87
ZVXBAHLOGZCFTP-UHFFFAOYSA-N,-9.2,26452.73
UDIIBEDMEYAVNG-ZKFPOVNWSA-N,-9.1,22243.12
GVJHHUAWPYXKBD-IEOSBIPESA-N,-8.1,16666.54
UAUIUKWPKRJZJV-QPLHLKROSA-N,-12.5,16210.32
PRBORDFJHHAISJ-CYBMUJFWSA-N,-6.3,18172.51
DTOSIQBPPRVQHS-PDBXOOCHSA-N,-6.4,19134.66
YAKWPXVTIGTRJH-QMMMGPOBSA-N,-6.2,23428.82
GFWRVVCDTLRWPK-UHFFFAOYSA-N,-10.1,19068.78
OYCGKECKIVYHTN-UHFFFAOYSA-N,-7.6,21553.53
MDJFHRLTPRPZLY-UHFFFAOYSA-N,-6.8,18123.61
FSVJFNAIGNNGKK-KRWDZBQOSA-N,-9.4,21514.97
VXTWEDPZMSVFEF-MRVPVSSYSA-N,-6.2,20311.21
USRHYDPUVLEVMC-FQEVSTJZSA-N,-6.9,14849.04
DXHYQIJBUNRPJT-UHFFFAOYSA-N,-6.7,16891.42
BJVVMKUXKQHWJK-SSDOTTSWSA-N,-6.9,28162.83
HJLSLZFTEKNLFI-UHFFFAOYSA-N,-6.6,24065.43
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,-8.0,18530.62
NJKDOADNQSYQEV-OCAPTIKFSA-N,-7.2,23839.54
KPIQXPLWZCDIHI-ISLYRVAYSA-N,-10.5,17211.45
WXTMDXOMEHJXQO-UHFFFAOYSA-N,-6.5,29890.9
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-6.0,20278.26
VKQFCGNPDRICFG-SFHVURJKSA-N,-8.1,17638.17
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-7.3,23449.36
STECJAGHUSJQJN-VJQRDGCPSA-N,-8.2,16679.28
SQVIAVUSQAWMKL-JTQLQIEISA-N,-6.2,19873.26
NPRHVSBSZMAEIN-NRFANRHFSA-N,-6.8,15927.85
MDKGKXOCJGEUJW-VIFPVBQESA-N,-7.6,18934.93
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-8.6,22503.27
KUEUWHJGRZKESU-UHFFFAOYSA-N,-9.8,13848.76
SPOAFZKFCYREMW-UDHCHFQSSA-N,-7.6,26178.18
JIEKMACRVQTPRC-UHFFFAOYSA-N,-8.8,22495.49
DB12328,-7.6,25528.35
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-7.2,18406.88
MXUNKHLAEDCYJL-JTQLQIEISA-N,-7.3,21686.82
MYWUZJCMWCOHBA-SECBINFHSA-N,-5.5,17945.98
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-8.7,26113.12
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-5.8,18597.73
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-8.2,26773.35
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-8.5,10681.82
FVRDYQYEVDDKCR-DBRKOABJSA-N,-8.5,24468.83
ZXFWVUHYOBPQHY-YUMQZZPRSA-N,-6.2,24238.95
HWHLPVGTWGOCJO-FQEVSTJZSA-N,-7.9,15912.71
RCUDFXMNPQNBDU-VOTSOKGWSA-N,-8.8,18899.43
WAFIYOULDIWAKR-NSHDSACASA-N,-7.0,24784.42
JKOQGQFVAUAYPM-UHFFFAOYSA-N,-5.7,11765.56
LVYLCBNXHHHPSB-UHFFFAOYSA-N,-6.6,28092.64
KVEZIRCKNOTGKY-UHFFFAOYSA-N,-7.3,22586.86
PHIQHXFUZVPYII-ZCFIWIBFSA-N,-5.4,24518.65
KWTSXDURSIMDCE-QMMMGPOBSA-N,-5.3,21021.92
UIDWQGRXEVDFCA-XCVCLJGOSA-N,-8.4,20355.89
LKCWBDHBTVXHDL-RMDFUYIESA-N,-9.2,23895.97
