ligand,energy,binding score
DPNGIIPSQYKWQA-AVGNSLFASA-N,-7.0,17831.63
JRFKIOFLCXKVOT-UHFFFAOYSA-N,-4.9,9365.55
XOVJAYNMQDTIJD-MRVPVSSYSA-N,-5.5,15957.96
LVWZTYCIRDMTEY-UHFFFAOYSA-N,-5.9,10789.96
OOBHFESNSZDWIU-ONGXEEELSA-N,-5.1,12730.15
CTRLABGOLIVAIY-UHFFFAOYSA-N,-7.3,15349.61
MOYGZHXDRJNJEP-HHHXNRCGSA-N,-7.7,17271.29
HDOZVRUNCMBHFH-UHFFFAOYSA-N,-5.7,20094.89
RDOIQAHITMMDAJ-UHFFFAOYSA-N,-7.7,14118.02
JQKHJQJVKRFMCO-SNAWJCMRSA-N,-6.4,14655.13
AGBQKNBQESQNJD-ZETCQYMHSA-N,-4.4,17049.08
PFENFDGYVLAFBR-UHFFFAOYSA-N,-5.7,22066.17
NENBAISIHCWPKP-UHFFFAOYSA-N,-5.7,16256.08
GXDALQBWZGODGZ-UHFFFAOYSA-N,-7.7,10914.39
UCHDWCPVSPXUMX-TZIWLTJVSA-N,-7.9,18530.77
STQGQHZAVUOBTE-VGBVRHCVSA-N,-8.1,21238.09
ISEHJSHTIVKELA-VDFGSOQMSA-N,-5.1,15323.92
VWFCHDSQECPREK-LURJTMIESA-N,-5.4,21594.71
IUWVALYLNVXWKX-UHFFFAOYSA-N,-4.6,13794.01
CBHCDHNUZWWAPP-OAHLLOKOSA-N,-6.4,5344.42
HTMIBDQKFHUPSX-AWEZNQCLSA-N,-6.0,5028.36
WBLPIVIXQOFTPQ-HTRCEHHLSA-N,-4.0,21237.81
ZKMNUMMKYBVTFN-HNNXBMFYSA-N,-5.7,3789.51
RMMXTBMQSGEXHJ-UHFFFAOYSA-N,-5.2,16893.25
WRJPSSPFHGNBMG-VIFPVBQESA-N,-4.4,13119.13
JPGQOUSTVILISH-PVQJCKRUSA-N,-4.1,16162.71
PUUSSSIBPPTKTP-UHFFFAOYSA-N,-5.1,14958.1
BEWNZPMDJIGBED-GFCCVEGCSA-N,-6.7,15617.67
QIVBCDIJIAJPQS-VIFPVBQESA-N,-5.8,19585.85
JWIXXNLOKOAAQT-UHFFFAOYSA-N,-5.1,13316.67
NAPSCFZYZVSQHF-UHFFFAOYSA-N,-4.7,20463.5
MOODSJOROWROTO-UHFFFAOYSA-N,-5.2,21697.87
GVEAYVLWDAFXET-XGHATYIMSA-N,-8.3,16469.93
UGQMRVRMYYASKQ-KQYNXXCUSA-N,-5.8,20753.38
WMPXPUYPYQKQCX-UHFFFAOYSA-N,-5.7,16132.26
GVGLGOZIDCSQPN-PVHGPHFFSA-N,-6.3,16610.25
HAPOVYFOVVWLRS-ZETCQYMHSA-N,-4.6,18094.77
DLGOEMSEDOSKAD-UHFFFAOYSA-N,-4.1,14213.57
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-4.9,21745.5
KBOPZPXVLCULAV-UHFFFAOYSA-N,-5.2,25910.64
ILROKGAXBGPFAI-UHFFFAOYSA-N,-5.4,4760.29
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,-5.7,11110.38
QRCJOCOSPZMDJY-BQBZGAKWSA-N,-4.2,20926.22
GZSOSUNBTXMUFQ-YFAPSIMESA-N,-8.5,18636.03
GBBSUAFBMRNDJC-INIZCTEOSA-N,-6.6,14202.75
PJDFLNIOAUIZSL-YFKPBYRVSA-N,-4.2,17808.87
FODQIVGFADUBKE-MRVPVSSYSA-N,-4.3,11672.25
QELSKZZBTMNZEB-UHFFFAOYSA-N,-4.9,17089.69
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,-5.5,19545.09
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,-6.0,14961.83
BJVVMKUXKQHWJK-SSDOTTSWSA-N,-4.9,17031.62
ZVXBAHLOGZCFTP-UHFFFAOYSA-N,-6.9,21650.13
DXHYQIJBUNRPJT-UHFFFAOYSA-N,-5.4,13932.29
MXRGZXBFSKSZPH-LURJTMIESA-N,-5.3,18424.02
OYCGKECKIVYHTN-UHFFFAOYSA-N,-5.5,11227.76
FSVJFNAIGNNGKK-KRWDZBQOSA-N,-7.2,20211.79
HJLSLZFTEKNLFI-UHFFFAOYSA-N,-4.5,20679.87
WXTMDXOMEHJXQO-UHFFFAOYSA-N,-5.3,24590.73
GVJHHUAWPYXKBD-IEOSBIPESA-N,-6.5,16938.19
YAKWPXVTIGTRJH-QMMMGPOBSA-N,-4.5,17950.07
PVBQYTCFVWZSJK-UHFFFAOYSA-N,-3.7,17726.74
USRHYDPUVLEVMC-FQEVSTJZSA-N,-5.5,13889.16
URNFTLVCQLRCMN-UHFFFAOYSA-N,-7.5,16724.0
SXYIRMFQILZOAM-HVNFFKDJSA-N,-6.1,16500.36
MDJFHRLTPRPZLY-UHFFFAOYSA-N,-4.6,14263.45
NJKDOADNQSYQEV-OCAPTIKFSA-N,-6.2,17954.0
GFWRVVCDTLRWPK-UHFFFAOYSA-N,-7.0,9181.72
UDIIBEDMEYAVNG-ZKFPOVNWSA-N,-7.0,21263.85
VXTWEDPZMSVFEF-MRVPVSSYSA-N,-5.4,11782.15
FGQFOYHRJSUHMR-UHFFFAOYSA-N,-6.7,17411.69
UAUIUKWPKRJZJV-QPLHLKROSA-N,-9.4,16629.11
DTOSIQBPPRVQHS-PDBXOOCHSA-N,-5.0,20208.31
PRBORDFJHHAISJ-CYBMUJFWSA-N,-5.1,13948.36
KPIQXPLWZCDIHI-ISLYRVAYSA-N,-7.5,16673.77
STECJAGHUSJQJN-VJQRDGCPSA-N,-6.7,17110.56
KUEUWHJGRZKESU-UHFFFAOYSA-N,-6.7,6562.22
SPOAFZKFCYREMW-UDHCHFQSSA-N,-5.8,21994.71
NPRHVSBSZMAEIN-NRFANRHFSA-N,-5.3,15267.96
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-5.3,9542.12
VKQFCGNPDRICFG-SFHVURJKSA-N,-5.6,15030.9
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-6.2,25460.48
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-4.6,13300.49
MYWUZJCMWCOHBA-SECBINFHSA-N,-4.8,14642.12
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-6.4,19004.8
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-6.3,2907.0
JIEKMACRVQTPRC-UHFFFAOYSA-N,-6.2,21308.11
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-4.6,15014.43
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-5.2,16215.93
FVRDYQYEVDDKCR-DBRKOABJSA-N,-6.0,24011.91
MDKGKXOCJGEUJW-VIFPVBQESA-N,-5.8,16579.71
MXUNKHLAEDCYJL-JTQLQIEISA-N,-5.4,13911.14
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-5.9,23463.37
SQVIAVUSQAWMKL-JTQLQIEISA-N,-5.3,14677.71
DB12328,-5.4,21625.4
PSWFFKRAVBDQEG-YGQNSOCVSA-N,-6.4,19808.98
ZXFWVUHYOBPQHY-YUMQZZPRSA-N,-5.3,20566.06
KLZWOWYOHUKJIG-BPUTZDHNSA-N,-5.8,19850.7
PHIQHXFUZVPYII-ZCFIWIBFSA-N,-4.3,23519.55
WAFIYOULDIWAKR-NSHDSACASA-N,-5.4,17880.87
RCUDFXMNPQNBDU-VOTSOKGWSA-N,-6.3,11610.95
GVTLAVKAVSKBKK-UHFFFAOYSA-N,-4.9,26866.89
LKCWBDHBTVXHDL-RMDFUYIESA-N,-6.7,19974.67
NYPYHUZRZVSYKL-ZETCQYMHSA-N,-5.1,20722.1
ORTYMGHCFWKXHO-UHFFFAOYSA-N,-4.6,19215.9
UIDWQGRXEVDFCA-XCVCLJGOSA-N,-5.7,19547.57
KWTSXDURSIMDCE-QMMMGPOBSA-N,-4.5,16102.2
QQOBRRFOVWGIMD-OJAKKHQRSA-N,-5.8,25171.53
OSASVXMJTNOKOY-UHFFFAOYSA-N,-3.6,19686.54
RXRGZNYSEHTMHC-BQBZGAKWSA-N,-5.3,25763.36
MCPKSFINULVDNX-UHFFFAOYSA-N,-6.1,10846.56
INJOMKTZOLKMBF-UHFFFAOYSA-N,-5.7,13501.52
WDDPHFBMKLOVOX-AYQXTPAHSA-N,-5.9,13523.24
JKOQGQFVAUAYPM-UHFFFAOYSA-N,-4.2,3855.05
HJYYPODYNSCCOU-PTWHBISLSA-N,-7.2,18843.23
