ligand,energy,binding score
RDOIQAHITMMDAJ-UHFFFAOYSA-N,-7.1,13726.02
AGBQKNBQESQNJD-ZETCQYMHSA-N,-4.9,14917.09
RMMXTBMQSGEXHJ-UHFFFAOYSA-N,-5.5,15690.2
JRFKIOFLCXKVOT-UHFFFAOYSA-N,-5.2,4878.64
STQGQHZAVUOBTE-VGBVRHCVSA-N,-7.8,20731.96
HTMIBDQKFHUPSX-AWEZNQCLSA-N,-6.4,4297.36
NENBAISIHCWPKP-UHFFFAOYSA-N,-5.8,16904.25
CTRLABGOLIVAIY-UHFFFAOYSA-N,-7.4,10821.12
CBHCDHNUZWWAPP-OAHLLOKOSA-N,-6.3,4795.95
ISEHJSHTIVKELA-VDFGSOQMSA-N,-5.3,8591.35
JQKHJQJVKRFMCO-SNAWJCMRSA-N,-6.5,12779.85
UCHDWCPVSPXUMX-TZIWLTJVSA-N,-7.0,19439.15
DPNGIIPSQYKWQA-AVGNSLFASA-N,-6.5,17061.12
MOYGZHXDRJNJEP-HHHXNRCGSA-N,-7.9,16090.7
GXDALQBWZGODGZ-UHFFFAOYSA-N,-7.5,10033.67
XOVJAYNMQDTIJD-MRVPVSSYSA-N,-5.9,13891.55
OOBHFESNSZDWIU-ONGXEEELSA-N,-6.1,8299.23
PFENFDGYVLAFBR-UHFFFAOYSA-N,-6.3,18371.86
VWFCHDSQECPREK-LURJTMIESA-N,-5.5,20373.16
WBLPIVIXQOFTPQ-HTRCEHHLSA-N,-4.7,19850.97
HDOZVRUNCMBHFH-UHFFFAOYSA-N,-6.0,18929.37
ZKMNUMMKYBVTFN-HNNXBMFYSA-N,-6.0,3191.52
IUWVALYLNVXWKX-UHFFFAOYSA-N,-5.1,11901.35
LVWZTYCIRDMTEY-UHFFFAOYSA-N,-5.9,9495.57
PJDFLNIOAUIZSL-YFKPBYRVSA-N,-4.4,15440.03
GBBSUAFBMRNDJC-INIZCTEOSA-N,-6.6,12756.78
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,-5.8,10829.83
KBOPZPXVLCULAV-UHFFFAOYSA-N,-5.3,23046.55
PUUSSSIBPPTKTP-UHFFFAOYSA-N,-4.9,14899.33
NAPSCFZYZVSQHF-UHFFFAOYSA-N,-4.3,19676.06
GZSOSUNBTXMUFQ-YFAPSIMESA-N,-8.6,18145.15
QRCJOCOSPZMDJY-BQBZGAKWSA-N,-4.5,19699.66
UGQMRVRMYYASKQ-KQYNXXCUSA-N,-6.3,17971.87
WRJPSSPFHGNBMG-VIFPVBQESA-N,-4.8,10352.47
FODQIVGFADUBKE-MRVPVSSYSA-N,-4.7,9010.38
GVEAYVLWDAFXET-XGHATYIMSA-N,-7.0,16143.88
DLGOEMSEDOSKAD-UHFFFAOYSA-N,-4.0,12486.36
JPGQOUSTVILISH-PVQJCKRUSA-N,-4.2,14470.45
MOODSJOROWROTO-UHFFFAOYSA-N,-5.5,18132.15
WMPXPUYPYQKQCX-UHFFFAOYSA-N,-6.2,14472.78
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,-5.2,19103.96
QIVBCDIJIAJPQS-VIFPVBQESA-N,-6.3,15068.63
JWIXXNLOKOAAQT-UHFFFAOYSA-N,-6.5,12242.17
ILROKGAXBGPFAI-UHFFFAOYSA-N,-5.8,3856.1
HAPOVYFOVVWLRS-ZETCQYMHSA-N,-4.6,16176.09
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-5.4,19348.75
GVGLGOZIDCSQPN-PVHGPHFFSA-N,-6.8,17379.09
QELSKZZBTMNZEB-UHFFFAOYSA-N,-5.2,14159.67
BEWNZPMDJIGBED-GFCCVEGCSA-N,-6.5,12557.93
OYCGKECKIVYHTN-UHFFFAOYSA-N,-5.9,8740.47
URNFTLVCQLRCMN-UHFFFAOYSA-N,-7.7,15786.65
DTOSIQBPPRVQHS-PDBXOOCHSA-N,-4.5,17874.51
MDJFHRLTPRPZLY-UHFFFAOYSA-N,-5.0,12352.78
YAKWPXVTIGTRJH-QMMMGPOBSA-N,-4.9,17204.33
FGQFOYHRJSUHMR-UHFFFAOYSA-N,-6.9,17104.06
SXYIRMFQILZOAM-HVNFFKDJSA-N,-6.7,16128.52
BJVVMKUXKQHWJK-SSDOTTSWSA-N,-5.6,15598.07
USRHYDPUVLEVMC-FQEVSTJZSA-N,-7.0,9381.96
UDIIBEDMEYAVNG-ZKFPOVNWSA-N,-6.7,19988.61
NJKDOADNQSYQEV-OCAPTIKFSA-N,-5.5,15969.55
WXTMDXOMEHJXQO-UHFFFAOYSA-N,-5.4,19296.38
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,-6.2,13357.57
PVBQYTCFVWZSJK-UHFFFAOYSA-N,-3.7,16130.32
DXHYQIJBUNRPJT-UHFFFAOYSA-N,-5.5,11027.93
HJLSLZFTEKNLFI-UHFFFAOYSA-N,-5.1,18468.18
GVJHHUAWPYXKBD-IEOSBIPESA-N,-6.0,17688.65
VXTWEDPZMSVFEF-MRVPVSSYSA-N,-5.3,8182.08
GFWRVVCDTLRWPK-UHFFFAOYSA-N,-7.2,7475.95
FSVJFNAIGNNGKK-KRWDZBQOSA-N,-7.6,17879.88
MXRGZXBFSKSZPH-LURJTMIESA-N,-5.4,17066.56
UAUIUKWPKRJZJV-QPLHLKROSA-N,-8.7,17392.18
KPIQXPLWZCDIHI-ISLYRVAYSA-N,-7.2,14954.45
ZVXBAHLOGZCFTP-UHFFFAOYSA-N,-6.6,17605.85
PRBORDFJHHAISJ-CYBMUJFWSA-N,-5.1,13377.73
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-5.7,14843.33
MYWUZJCMWCOHBA-SECBINFHSA-N,-5.2,11315.74
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-4.5,11560.69
MXUNKHLAEDCYJL-JTQLQIEISA-N,-6.1,12957.56
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-6.5,2341.14
MDKGKXOCJGEUJW-VIFPVBQESA-N,-6.3,14015.87
SPOAFZKFCYREMW-UDHCHFQSSA-N,-5.6,22012.24
KUEUWHJGRZKESU-UHFFFAOYSA-N,-6.3,5915.73
STECJAGHUSJQJN-VJQRDGCPSA-N,-6.3,17925.34
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-5.4,8085.11
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-6.6,22153.29
FVRDYQYEVDDKCR-DBRKOABJSA-N,-5.9,20088.93
SQVIAVUSQAWMKL-JTQLQIEISA-N,-5.1,13155.35
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-6.3,22213.17
DB12328,-5.1,18806.72
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-5.2,13484.43
VKQFCGNPDRICFG-SFHVURJKSA-N,-5.5,13408.81
JIEKMACRVQTPRC-UHFFFAOYSA-N,-7.1,20953.98
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-6.6,16718.59
NPRHVSBSZMAEIN-NRFANRHFSA-N,-5.6,13410.63
JKOQGQFVAUAYPM-UHFFFAOYSA-N,-4.0,2924.7
LVYLCBNXHHHPSB-UHFFFAOYSA-N,-5.3,17460.83
UIDWQGRXEVDFCA-XCVCLJGOSA-N,-6.0,17737.95
QQOBRRFOVWGIMD-OJAKKHQRSA-N,-5.9,19824.95
HWHLPVGTWGOCJO-FQEVSTJZSA-N,-6.0,11528.92
WAFIYOULDIWAKR-NSHDSACASA-N,-6.0,16298.67
HJYYPODYNSCCOU-PTWHBISLSA-N,-6.4,19145.36
INJOMKTZOLKMBF-UHFFFAOYSA-N,-6.7,11924.19
PHIQHXFUZVPYII-ZCFIWIBFSA-N,-4.2,21789.54
WDDPHFBMKLOVOX-AYQXTPAHSA-N,-6.2,12539.74
KLZWOWYOHUKJIG-BPUTZDHNSA-N,-6.3,20491.07
MCPKSFINULVDNX-UHFFFAOYSA-N,-6.4,9431.09
RXRGZNYSEHTMHC-BQBZGAKWSA-N,-5.6,21955.73
GVTLAVKAVSKBKK-UHFFFAOYSA-N,-5.3,23153.99
ZXFWVUHYOBPQHY-YUMQZZPRSA-N,-5.4,17975.63
OSASVXMJTNOKOY-UHFFFAOYSA-N,-3.8,18230.21
RCUDFXMNPQNBDU-VOTSOKGWSA-N,-6.8,11041.37
PSWFFKRAVBDQEG-YGQNSOCVSA-N,-6.3,19014.38
ONWXNHPOAGOMTG-UHFFFAOYSA-N,-6.4,20178.62
ORTYMGHCFWKXHO-UHFFFAOYSA-N,-4.6,15932.93
KVEZIRCKNOTGKY-UHFFFAOYSA-N,-5.8,13163.12
PCOBBVZJEWWZFR-UHFFFAOYSA-N,-6.5,9547.84
LKCWBDHBTVXHDL-RMDFUYIESA-N,-6.1,18571.38
KWTSXDURSIMDCE-QMMMGPOBSA-N,-5.0,13061.54
NYPYHUZRZVSYKL-ZETCQYMHSA-N,-5.2,19315.04
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-5.6,14843.33
MYWUZJCMWCOHBA-SECBINFHSA-N,-5.2,11315.74
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-4.5,11560.69
MXUNKHLAEDCYJL-JTQLQIEISA-N,-6.1,12957.56
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-6.5,2341.14
MDKGKXOCJGEUJW-VIFPVBQESA-N,-6.3,14015.87
SPOAFZKFCYREMW-UDHCHFQSSA-N,-6.0,22012.24
KUEUWHJGRZKESU-UHFFFAOYSA-N,-6.4,5915.73
STECJAGHUSJQJN-VJQRDGCPSA-N,-6.5,17925.34
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-5.4,8085.11
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-6.8,22153.29
FVRDYQYEVDDKCR-DBRKOABJSA-N,-5.9,20088.93
SQVIAVUSQAWMKL-JTQLQIEISA-N,-5.3,13155.35
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-6.4,22213.17
DB12328,-5.1,18806.72
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-5.2,13484.43
VKQFCGNPDRICFG-SFHVURJKSA-N,-5.5,13408.81
JIEKMACRVQTPRC-UHFFFAOYSA-N,-7.1,20953.98
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-6.4,16718.59
NPRHVSBSZMAEIN-NRFANRHFSA-N,-5.4,13410.63
