ligand,energy,binding score
LVWZTYCIRDMTEY-UHFFFAOYSA-N,-6.2,40500.53
HDOZVRUNCMBHFH-UHFFFAOYSA-N,-5.6,24633.92
STQGQHZAVUOBTE-VGBVRHCVSA-N,-7.4,32125.87
DPNGIIPSQYKWQA-AVGNSLFASA-N,-6.5,40168.3
GXDALQBWZGODGZ-UHFFFAOYSA-N,-6.7,30326.0
UCHDWCPVSPXUMX-TZIWLTJVSA-N,-6.6,19513.37
ISEHJSHTIVKELA-VDFGSOQMSA-N,-4.9,20929.92
RDOIQAHITMMDAJ-UHFFFAOYSA-N,-6.7,24736.19
PFENFDGYVLAFBR-UHFFFAOYSA-N,-6.4,42851.95
WBLPIVIXQOFTPQ-HTRCEHHLSA-N,-4.9,29070.63
CTRLABGOLIVAIY-UHFFFAOYSA-N,-6.7,18697.81
CBHCDHNUZWWAPP-OAHLLOKOSA-N,-6.2,40311.21
JQKHJQJVKRFMCO-SNAWJCMRSA-N,-6.0,29211.11
JRFKIOFLCXKVOT-UHFFFAOYSA-N,-6.5,34500.85
OOBHFESNSZDWIU-ONGXEEELSA-N,-4.9,30150.7
IUWVALYLNVXWKX-UHFFFAOYSA-N,-4.6,40493.11
RMMXTBMQSGEXHJ-UHFFFAOYSA-N,-5.4,38302.05
XOVJAYNMQDTIJD-MRVPVSSYSA-N,-6.5,34939.02
VWFCHDSQECPREK-LURJTMIESA-N,-7.4,40125.92
NENBAISIHCWPKP-UHFFFAOYSA-N,-5.9,21091.05
MOYGZHXDRJNJEP-HHHXNRCGSA-N,-7.0,27560.4
ZKMNUMMKYBVTFN-HNNXBMFYSA-N,-5.6,46331.58
HTMIBDQKFHUPSX-AWEZNQCLSA-N,-6.1,39078.9
AGBQKNBQESQNJD-ZETCQYMHSA-N,-5.7,34922.78
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,-5.3,40710.87
QIVBCDIJIAJPQS-VIFPVBQESA-N,-6.0,45483.73
PUUSSSIBPPTKTP-UHFFFAOYSA-N,-6.0,19418.87
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,-6.4,24900.98
WRJPSSPFHGNBMG-VIFPVBQESA-N,-5.3,35901.96
BEWNZPMDJIGBED-GFCCVEGCSA-N,-6.4,37016.43
ILROKGAXBGPFAI-UHFFFAOYSA-N,-5.4,39673.6
KBOPZPXVLCULAV-UHFFFAOYSA-N,-5.9,45070.21
GVGLGOZIDCSQPN-PVHGPHFFSA-N,-6.7,17269.25
GVEAYVLWDAFXET-XGHATYIMSA-N,-6.8,32310.09
PJDFLNIOAUIZSL-YFKPBYRVSA-N,-5.0,32162.19
NAPSCFZYZVSQHF-UHFFFAOYSA-N,-4.0,34948.48
WMPXPUYPYQKQCX-UHFFFAOYSA-N,-6.3,36370.85
FODQIVGFADUBKE-MRVPVSSYSA-N,-5.1,30393.08
JPGQOUSTVILISH-PVQJCKRUSA-N,-5.4,41142.19
UGQMRVRMYYASKQ-KQYNXXCUSA-N,-6.5,39357.35
GBBSUAFBMRNDJC-INIZCTEOSA-N,-6.9,35421.41
GZSOSUNBTXMUFQ-YFAPSIMESA-N,-8.0,33324.26
QRCJOCOSPZMDJY-BQBZGAKWSA-N,-4.8,31128.35
DLGOEMSEDOSKAD-UHFFFAOYSA-N,-5.0,47420.03
QELSKZZBTMNZEB-UHFFFAOYSA-N,-4.9,37780.49
HAPOVYFOVVWLRS-ZETCQYMHSA-N,-5.2,21576.45
MOODSJOROWROTO-UHFFFAOYSA-N,-6.0,38390.23
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-5.9,21206.27
JWIXXNLOKOAAQT-UHFFFAOYSA-N,-5.2,30095.71
FSVJFNAIGNNGKK-KRWDZBQOSA-N,-6.7,25242.07
ZVXBAHLOGZCFTP-UHFFFAOYSA-N,-7.1,32080.34
VXTWEDPZMSVFEF-MRVPVSSYSA-N,-5.6,31346.2
UDIIBEDMEYAVNG-ZKFPOVNWSA-N,-6.2,28180.58
DTOSIQBPPRVQHS-PDBXOOCHSA-N,-4.5,27365.67
USRHYDPUVLEVMC-FQEVSTJZSA-N,-5.0,14144.64
PVBQYTCFVWZSJK-UHFFFAOYSA-N,-4.7,26969.15
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,-6.3,34333.43
BJVVMKUXKQHWJK-SSDOTTSWSA-N,-6.0,44515.31
PRBORDFJHHAISJ-CYBMUJFWSA-N,-5.9,32286.98
FGQFOYHRJSUHMR-UHFFFAOYSA-N,-8.0,33074.94
HJLSLZFTEKNLFI-UHFFFAOYSA-N,-5.7,27910.8
UAUIUKWPKRJZJV-QPLHLKROSA-N,-8.8,16527.56
OYCGKECKIVYHTN-UHFFFAOYSA-N,-5.5,47939.66
YAKWPXVTIGTRJH-QMMMGPOBSA-N,-6.3,46630.91
URNFTLVCQLRCMN-UHFFFAOYSA-N,-8.3,28115.43
NJKDOADNQSYQEV-OCAPTIKFSA-N,-5.4,19159.38
GFWRVVCDTLRWPK-UHFFFAOYSA-N,-6.3,55934.3
MDJFHRLTPRPZLY-UHFFFAOYSA-N,-5.7,37069.59
SXYIRMFQILZOAM-HVNFFKDJSA-N,-6.6,28418.92
DXHYQIJBUNRPJT-UHFFFAOYSA-N,-5.7,20063.35
KPIQXPLWZCDIHI-ISLYRVAYSA-N,-7.1,33457.06
GVJHHUAWPYXKBD-IEOSBIPESA-N,-6.3,17811.09
WXTMDXOMEHJXQO-UHFFFAOYSA-N,-6.2,37815.81
MXRGZXBFSKSZPH-LURJTMIESA-N,-5.4,36308.61
SQVIAVUSQAWMKL-JTQLQIEISA-N,-5.5,34875.92
MYWUZJCMWCOHBA-SECBINFHSA-N,-4.3,27322.1
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-5.6,29657.17
KUEUWHJGRZKESU-UHFFFAOYSA-N,-7.1,44495.01
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-7.4,29622.43
DB12328,-6.4,22480.29
SPOAFZKFCYREMW-UDHCHFQSSA-N,-5.6,23323.67
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-5.2,15629.02
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-6.0,35285.52
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-5.1,42564.86
VKQFCGNPDRICFG-SFHVURJKSA-N,-6.4,32702.96
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-5.7,42975.41
JIEKMACRVQTPRC-UHFFFAOYSA-N,-6.2,21510.65
FVRDYQYEVDDKCR-DBRKOABJSA-N,-6.3,24765.22
STECJAGHUSJQJN-VJQRDGCPSA-N,-6.1,16621.15
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-6.4,37192.7
MDKGKXOCJGEUJW-VIFPVBQESA-N,-5.7,20004.47
NPRHVSBSZMAEIN-NRFANRHFSA-N,-5.6,31418.32
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-6.9,21242.65
MXUNKHLAEDCYJL-JTQLQIEISA-N,-5.9,38937.95
WDDPHFBMKLOVOX-AYQXTPAHSA-N,-7.0,32504.83
RCUDFXMNPQNBDU-VOTSOKGWSA-N,-6.6,38148.89
MCPKSFINULVDNX-UHFFFAOYSA-N,-5.7,42236.9
INJOMKTZOLKMBF-UHFFFAOYSA-N,-6.4,50535.82
WAFIYOULDIWAKR-NSHDSACASA-N,-6.2,40152.99
PSWFFKRAVBDQEG-YGQNSOCVSA-N,-6.9,26948.59
KVEZIRCKNOTGKY-UHFFFAOYSA-N,-5.4,27602.65
NYPYHUZRZVSYKL-ZETCQYMHSA-N,-5.6,32939.28
QQOBRRFOVWGIMD-OJAKKHQRSA-N,-6.6,27333.84
ONWXNHPOAGOMTG-UHFFFAOYSA-N,-7.1,29400.05
UIDWQGRXEVDFCA-XCVCLJGOSA-N,-5.9,23223.54
OSASVXMJTNOKOY-UHFFFAOYSA-N,-3.9,37218.57
KLZWOWYOHUKJIG-BPUTZDHNSA-N,-6.1,22084.68
HWHLPVGTWGOCJO-FQEVSTJZSA-N,-5.4,18332.16
JKOQGQFVAUAYPM-UHFFFAOYSA-N,-5.5,35192.29
LKCWBDHBTVXHDL-RMDFUYIESA-N,-6.3,36842.46
PHIQHXFUZVPYII-ZCFIWIBFSA-N,-5.0,37306.24
HJYYPODYNSCCOU-PTWHBISLSA-N,-7.4,29493.95
LVYLCBNXHHHPSB-UHFFFAOYSA-N,-5.8,41180.39
RXRGZNYSEHTMHC-BQBZGAKWSA-N,-6.7,41274.23
KWTSXDURSIMDCE-QMMMGPOBSA-N,-4.3,31979.64
ORTYMGHCFWKXHO-UHFFFAOYSA-N,-5.9,49582.21
GVTLAVKAVSKBKK-UHFFFAOYSA-N,-5.6,39301.44
ZXFWVUHYOBPQHY-YUMQZZPRSA-N,-6.3,31803.32
PCOBBVZJEWWZFR-UHFFFAOYSA-N,-6.5,42067.07
SQVIAVUSQAWMKL-JTQLQIEISA-N,-5.0,34875.92
MYWUZJCMWCOHBA-SECBINFHSA-N,-4.3,27322.1
DHCUQNSUUYMFGX-UHFFFAOYSA-N,-5.7,29657.17
KUEUWHJGRZKESU-UHFFFAOYSA-N,-7.3,44495.01
XWLUWCNOOVRFPX-UHFFFAOYSA-N,-8.0,29622.43
DB12328,-6.4,22480.29
SPOAFZKFCYREMW-UDHCHFQSSA-N,-6.0,23323.67
WEEGYLXZBRQIMU-WAAGHKOSSA-N,-5.3,15629.02
HOKDBMAJZXIPGC-MRXNPFEDSA-N,-6.0,35285.52
NCYVXEGFNDZQCU-UHFFFAOYSA-N,-5.1,42564.86
VKQFCGNPDRICFG-SFHVURJKSA-N,-5.7,32702.96
QTGAJCQTLIRCFL-UHFFFAOYSA-N,-5.9,42975.41
JIEKMACRVQTPRC-UHFFFAOYSA-N,-6.0,21510.65
FVRDYQYEVDDKCR-DBRKOABJSA-N,-6.3,24765.22
STECJAGHUSJQJN-VJQRDGCPSA-N,-5.9,16621.15
NQDJXKOVJZTUJA-UHFFFAOYSA-N,-6.4,37192.7
MDKGKXOCJGEUJW-VIFPVBQESA-N,-5.6,20004.47
NPRHVSBSZMAEIN-NRFANRHFSA-N,-5.6,31418.32
HTNPEHXGEKVIHG-QCNRFFRDSA-N,-6.9,21242.65
MXUNKHLAEDCYJL-JTQLQIEISA-N,-5.9,38937.95
