ligand,energy,binding score
JQKHJQJVKRFMCO-SNAWJCMRSA-N,-7.4,15370.98
JRFKIOFLCXKVOT-UHFFFAOYSA-N,-6.3,12744.63
STQGQHZAVUOBTE-VGBVRHCVSA-N,-9.5,20709.98
VWFCHDSQECPREK-LURJTMIESA-N,-6.4,22020.07
HTMIBDQKFHUPSX-AWEZNQCLSA-N,-7.0,5239.29
WBLPIVIXQOFTPQ-HTRCEHHLSA-N,-6.0,21200.89
NENBAISIHCWPKP-UHFFFAOYSA-N,-6.4,15946.33
OOBHFESNSZDWIU-ONGXEEELSA-N,-6.4,17094.88
LVWZTYCIRDMTEY-UHFFFAOYSA-N,-7.5,10910.47
RMMXTBMQSGEXHJ-UHFFFAOYSA-N,-6.8,18142.24
XOVJAYNMQDTIJD-MRVPVSSYSA-N,-6.9,15214.71
HDOZVRUNCMBHFH-UHFFFAOYSA-N,-7.1,19977.69
RDOIQAHITMMDAJ-UHFFFAOYSA-N,-8.6,15038.98
GXDALQBWZGODGZ-UHFFFAOYSA-N,-8.2,12465.82
IUWVALYLNVXWKX-UHFFFAOYSA-N,-6.2,17844.53
DPNGIIPSQYKWQA-AVGNSLFASA-N,-7.7,16846.18
MOYGZHXDRJNJEP-HHHXNRCGSA-N,-8.5,17401.64
ZKMNUMMKYBVTFN-HNNXBMFYSA-N,-7.7,3844.55
ISEHJSHTIVKELA-VDFGSOQMSA-N,-6.3,18209.79
PFENFDGYVLAFBR-UHFFFAOYSA-N,-7.3,26457.07
AGBQKNBQESQNJD-ZETCQYMHSA-N,-5.5,19732.82
CBHCDHNUZWWAPP-OAHLLOKOSA-N,-7.3,6122.69
UCHDWCPVSPXUMX-TZIWLTJVSA-N,-8.4,18201.45
CTRLABGOLIVAIY-UHFFFAOYSA-N,-9.4,17941.25
WMPXPUYPYQKQCX-UHFFFAOYSA-N,-7.5,18290.79
WRJPSSPFHGNBMG-VIFPVBQESA-N,-5.0,16752.95
HAPOVYFOVVWLRS-ZETCQYMHSA-N,-5.6,15971.67
KBOPZPXVLCULAV-UHFFFAOYSA-N,-6.3,28253.99
PUUSSSIBPPTKTP-UHFFFAOYSA-N,-6.7,16751.19
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,-6.6,19203.88
GZSOSUNBTXMUFQ-YFAPSIMESA-N,-11.0,19522.37
QELSKZZBTMNZEB-UHFFFAOYSA-N,-6.4,19213.54
DLGOEMSEDOSKAD-UHFFFAOYSA-N,-5.6,15575.27
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,-6.4,11347.88
GVEAYVLWDAFXET-XGHATYIMSA-N,-7.5,17330.79
QIVBCDIJIAJPQS-VIFPVBQESA-N,-7.7,23963.03
JPGQOUSTVILISH-PVQJCKRUSA-N,-5.0,15959.65
QRCJOCOSPZMDJY-BQBZGAKWSA-N,-5.3,20740.16
MOODSJOROWROTO-UHFFFAOYSA-N,-7.3,22396.06
UGQMRVRMYYASKQ-KQYNXXCUSA-N,-7.8,22114.28
FODQIVGFADUBKE-MRVPVSSYSA-N,-5.5,13059.18
BEWNZPMDJIGBED-GFCCVEGCSA-N,-7.5,18050.04
ILROKGAXBGPFAI-UHFFFAOYSA-N,-6.2,4889.09
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-7.4,19946.81
GVGLGOZIDCSQPN-PVHGPHFFSA-N,-7.8,16323.95
GBBSUAFBMRNDJC-INIZCTEOSA-N,-7.5,14097.22
PJDFLNIOAUIZSL-YFKPBYRVSA-N,-5.2,21372.31
NAPSCFZYZVSQHF-UHFFFAOYSA-N,-5.5,20974.91
