ligand,E1,E2,E3
AUZONCFQVSMFAP-UHFFFAOYSA-N,-3.9,-4.0,-3.3
XZEUAXYWNKYKPL-WDYNHAJCSA-N,-6.6,-5.9,-6.2
PDWUPXJEEYOOTR-IUAIQHPESA-N,-4.8,-5.7,-4.8
URCIJDUOBBSMII-HZPDHXFCSA-N,-4.3,-5.8,-5.1
AEOCXXJPGCBFJA-UHFFFAOYSA-N,-4.4,-5.1,-4.2
DKVNAGXPRSYHLB-UHFFFAOYSA-N,-5.4,-6.4,-5.3
HTIQEAQVCYTUBX-KRWDZBQOSA-N,-5.3,-4.9,-5.0
METKIMKYRPQLGS-GFCCVEGCSA-N,-5.3,-6.0,-5.7
JEYCTXHKTXCGPB-UHFFFAOYSA-N,-6.3,-7.1,-5.7
LSLYOANBFKQKPT-PIGZYNQJSA-N,-6.6,-6.4,-6.7
QNEXFJFTGQBXBJ-MRVPVSSYSA-N,-4.7,-5.2,-4.7
ITMSAWKLJVGBIT-VKHMYHEASA-N,-4.4,-4.4,-4.2
ZVSGUZQJNXHNIL-UHFFFAOYSA-N,-5.3,-6.0,-4.8
KYGZCKSPAKDVKC-UHFFFAOYSA-N,-5.9,-6.6,-5.6
USSIQXCVUWKGNF-KRWDZBQOSA-N,-5.0,-5.9,-4.7
FMRHJJZUHUTGKE-LBPRGKRZSA-N,-5.3,-5.5,-5.2
KVHHQGIIZCJATJ-BXUZGUMPSA-N,-5.1,-5.6,-4.9
LHGVFZTZFXWLCP-UHFFFAOYSA-N,-4.2,-4.3,-3.9
BUJAGSGYPOAWEI-VIFPVBQESA-N,-5.1,-5.5,-4.6
LMOINURANNBYCM-LLVKDONJSA-N,-5.2,-5.6,-5.2
AHZBEVXBKNYXPU-UHFFFAOYSA-N,-5.7,-6.0,-5.7
KSGXQBZTULBEEQ-UHFFFAOYSA-N,-7.2,-7.2,-6.9
ALWKGYPQUAPLQC-UHFFFAOYSA-N,-5.1,-5.4,-4.3
YSAUAVHXTIETRK-AATRIKPKSA-N,-4.7,-5.3,-4.6
QNZCBYKSOIHPEH-UHFFFAOYSA-N,-7.8,-7.1,-6.1
