ligand,E1,E2,E3
FMRHJJZUHUTGKE-LBPRGKRZSA-N,-5.9,-6.5,-6.8
METKIMKYRPQLGS-GFCCVEGCSA-N,-6.3,-7.0,-6.5
USSIQXCVUWKGNF-KRWDZBQOSA-N,-6.6,-6.4,-6.1
KSGXQBZTULBEEQ-UHFFFAOYSA-N,-8.8,-9.1,-8.9
KYGZCKSPAKDVKC-UHFFFAOYSA-N,-6.8,-6.5,-7.3
DKVNAGXPRSYHLB-UHFFFAOYSA-N,-6.6,-6.7,-7.2
KVHHQGIIZCJATJ-BXUZGUMPSA-N,-5.6,-6.0,-6.3
HTIQEAQVCYTUBX-KRWDZBQOSA-N,-6.4,-6.6,-6.3
ALWKGYPQUAPLQC-UHFFFAOYSA-N,-5.5,-6.1,-6.2
BUJAGSGYPOAWEI-VIFPVBQESA-N,-5.9,-5.8,-6.3
ZVSGUZQJNXHNIL-UHFFFAOYSA-N,-6.4,-6.4,-7.1
LMOINURANNBYCM-LLVKDONJSA-N,-6.5,-6.4,-6.4
PDWUPXJEEYOOTR-IUAIQHPESA-N,-5.8,-6.0,-6.1
JEYCTXHKTXCGPB-UHFFFAOYSA-N,-7.0,-7.5,-8.2
LHGVFZTZFXWLCP-UHFFFAOYSA-N,-5.4,-4.9,-4.9
LSLYOANBFKQKPT-PIGZYNQJSA-N,-7.4,-7.5,-8.2
QNEXFJFTGQBXBJ-MRVPVSSYSA-N,-5.6,-6.1,-5.9
URCIJDUOBBSMII-HZPDHXFCSA-N,-5.6,-5.8,-7.6
AUZONCFQVSMFAP-UHFFFAOYSA-N,-4.2,-4.3,-4.4
AHZBEVXBKNYXPU-UHFFFAOYSA-N,-7.0,-7.4,-6.8
XZEUAXYWNKYKPL-WDYNHAJCSA-N,-6.6,-7.6,-8.8
YSAUAVHXTIETRK-AATRIKPKSA-N,-5.5,-6.1,-5.8
QNZCBYKSOIHPEH-UHFFFAOYSA-N,-8.9,-8.7,-9.3
AEOCXXJPGCBFJA-UHFFFAOYSA-N,-4.9,-5.0,-5.7
ITMSAWKLJVGBIT-VKHMYHEASA-N,-5.1,-5.2,-5.1
