ligand,E1,E2,E3
KVHHQGIIZCJATJ-BXUZGUMPSA-N,-6.0,-5.8,-6.0
LHGVFZTZFXWLCP-UHFFFAOYSA-N,-4.5,-5.3,-4.7
METKIMKYRPQLGS-GFCCVEGCSA-N,-6.1,-6.5,-6.5
BUJAGSGYPOAWEI-VIFPVBQESA-N,-5.5,-6.1,-6.2
YSAUAVHXTIETRK-AATRIKPKSA-N,-5.1,-5.4,-5.2
LSLYOANBFKQKPT-PIGZYNQJSA-N,-6.9,-6.9,-7.5
FMRHJJZUHUTGKE-LBPRGKRZSA-N,-6.1,-5.9,-6.0
AEOCXXJPGCBFJA-UHFFFAOYSA-N,-5.1,-5.4,-5.1
HTIQEAQVCYTUBX-KRWDZBQOSA-N,-5.9,-4.8,-6.5
ZVSGUZQJNXHNIL-UHFFFAOYSA-N,-6.0,-6.5,-6.1
USSIQXCVUWKGNF-KRWDZBQOSA-N,-5.5,-4.9,-6.7
ALWKGYPQUAPLQC-UHFFFAOYSA-N,-5.6,-5.3,-5.9
QNEXFJFTGQBXBJ-MRVPVSSYSA-N,-5.9,-6.1,-5.6
XZEUAXYWNKYKPL-WDYNHAJCSA-N,-7.6,-6.3,-7.9
PDWUPXJEEYOOTR-IUAIQHPESA-N,-5.8,-6.6,-5.9
ITMSAWKLJVGBIT-VKHMYHEASA-N,-5.2,-4.9,-4.7
URCIJDUOBBSMII-HZPDHXFCSA-N,-6.5,-5.9,-6.9
KSGXQBZTULBEEQ-UHFFFAOYSA-N,-7.3,-7.4,-7.7
KYGZCKSPAKDVKC-UHFFFAOYSA-N,-7.1,-6.7,-6.9
QNZCBYKSOIHPEH-UHFFFAOYSA-N,-8.3,-7.4,-7.3
AHZBEVXBKNYXPU-UHFFFAOYSA-N,-7.0,-6.0,-5.5
AUZONCFQVSMFAP-UHFFFAOYSA-N,-4.5,-3.8,-4.3
DKVNAGXPRSYHLB-UHFFFAOYSA-N,-7.1,-6.4,-6.3
LMOINURANNBYCM-LLVKDONJSA-N,-5.7,-6.4,-6.2
JEYCTXHKTXCGPB-UHFFFAOYSA-N,-7.8,-7.4,-7.4
