ligand,E1,E2,E3
XSBSKEQEUFOSDD-UHFFFAOYSA-N,-4.9,-5.6,-5.8
GMZVRMREEHBGGF-UHFFFAOYSA-N,-4.7,-5.6,-4.9
WQVAYGCXSJMPRT-UHFFFAOYSA-N,-5.9,-6.6,-6.2
VTUSIVBDOCDNHS-OAHLLOKOSA-N,-6.0,-6.1,-6.5
PYNXFZCZUAOOQC-UTKZUKDTSA-N,-8.0,-7.4,-7.4
OCDYNPAUUKDNOR-UHFFFAOYSA-N,-7.8,-7.6,-8.0
SNIOPGDIGTZGOP-UHFFFAOYSA-N,-5.7,-6.6,-5.7
YMDXZJFXQJVXBF-STHAYSLISA-N,-4.5,-4.9,-4.4
YTRMTPPVNRALON-UHFFFAOYSA-N,-8.7,-7.5,-7.3
ZLFQARCCMWUSQE-WMPKNSHKSA-N,-10.3,-8.6,-10.2
GDYUVHBMFVMBAF-LIRRHRJNSA-N,-7.1,-7.7,-7.2
KWTSXDURSIMDCE-MRVPVSSYSA-N,-5.5,-5.6,-5.2
PAQZZCOZHPGCFW-UUELBBOTSA-N,-7.4,-7.4,-7.5
GSNOZLZNQMLSKJ-UHFFFAOYSA-N,-5.2,-7.1,-5.5
XVAMCHGMPYWHNL-MKPDMIMOSA-N,-8.0,-7.7,-8.7
GUBGYTABKSRVRQ-QUYVBRFLSA-N,-7.0,-5.3,-6.7
FOCVUCIESVLUNU-UHFFFAOYSA-N,-3.5,-4.1,-4.0
MPBVHIBUJCELCL-UHFFFAOYSA-N,-6.3,-6.7,-5.9
MXHODDGKGSGCDI-UHFFFAOYSA-N,-6.5,-6.3,-6.9
YWPHCCPCQOJSGZ-NSHDSACASA-N,-6.1,-6.4,-6.3
NREAGDHHMSOWKZ-DXJNJSHLSA-N,-9.5,-9.4,-9.3
JTEGQNOMFQHVDC-NKWVEPMBSA-N,-6.0,-5.7,-5.6
HIGRLDNHDGYWQJ-UHFFFAOYSA-P,-7.0,-6.7,-6.7
QAJQUUOBVOKLOD-UHFFFAOYSA-N,-7.4,-7.9,-7.7
