ligand,E1,E2,E3
YWPHCCPCQOJSGZ-NSHDSACASA-N,-6.5,-5.9,-5.2
JTEGQNOMFQHVDC-NKWVEPMBSA-N,-6.3,-5.1,-4.4
GUBGYTABKSRVRQ-QUYVBRFLSA-N,-6.5,-5.5,-5.1
SNIOPGDIGTZGOP-UHFFFAOYSA-N,-4.8,-4.3,-4.7
KWTSXDURSIMDCE-MRVPVSSYSA-N,-5.5,-4.4,-4.3
VTUSIVBDOCDNHS-OAHLLOKOSA-N,-7.0,-6.2,-4.6
ZLFQARCCMWUSQE-WMPKNSHKSA-N,-10.4,-9.7,-4.6
MXHODDGKGSGCDI-UHFFFAOYSA-N,-8.2,-7.2,-5.6
GMZVRMREEHBGGF-UHFFFAOYSA-N,-5.3,-4.3,-4.2
OCDYNPAUUKDNOR-UHFFFAOYSA-N,-9.4,-9.5,-6.1
NREAGDHHMSOWKZ-DXJNJSHLSA-N,-10.6,-10.8,-7.0
XVAMCHGMPYWHNL-MKPDMIMOSA-N,-9.3,-9.2,-5.9
MPBVHIBUJCELCL-UHFFFAOYSA-N,-5.4,-5.2,-4.7
XSBSKEQEUFOSDD-UHFFFAOYSA-N,-6.2,-5.8,-4.5
FOCVUCIESVLUNU-UHFFFAOYSA-N,-3.8,-3.4,-3.9
HIGRLDNHDGYWQJ-UHFFFAOYSA-P,-8.0,-8.0,-5.7
YTRMTPPVNRALON-UHFFFAOYSA-N,-8.3,-7.8,-5.9
GDYUVHBMFVMBAF-LIRRHRJNSA-N,-8.0,-7.8,-5.5
GSNOZLZNQMLSKJ-UHFFFAOYSA-N,-5.5,-5.0,-4.7
PAQZZCOZHPGCFW-UUELBBOTSA-N,-8.1,-7.8,-5.6
YMDXZJFXQJVXBF-STHAYSLISA-N,-4.4,-3.4,-4.1
WQVAYGCXSJMPRT-UHFFFAOYSA-N,-6.5,-5.4,-4.8
PYNXFZCZUAOOQC-UTKZUKDTSA-N,-8.8,-7.9,-6.1
QAJQUUOBVOKLOD-UHFFFAOYSA-N,-8.4,-7.5,-6.4
