ligand,E1,E2,E3
ZLFQARCCMWUSQE-WMPKNSHKSA-N,-5.8,-7.8,-6.2
XSBSKEQEUFOSDD-UHFFFAOYSA-N,-5.6,-5.8,-6.3
GSNOZLZNQMLSKJ-UHFFFAOYSA-N,-5.5,-5.3,-6.0
XVAMCHGMPYWHNL-MKPDMIMOSA-N,-7.9,-8.1,-8.9
OCDYNPAUUKDNOR-UHFFFAOYSA-N,-7.7,-8.1,-8.7
YMDXZJFXQJVXBF-STHAYSLISA-N,-4.6,-4.3,-4.5
HIGRLDNHDGYWQJ-UHFFFAOYSA-P,-6.3,-7.1,-7.3
NREAGDHHMSOWKZ-DXJNJSHLSA-N,-9.8,-9.7,-11.1
MXHODDGKGSGCDI-UHFFFAOYSA-N,-6.6,-6.3,-7.4
JTEGQNOMFQHVDC-NKWVEPMBSA-N,-5.7,-6.0,-6.4
WQVAYGCXSJMPRT-UHFFFAOYSA-N,-6.1,-6.0,-6.3
KWTSXDURSIMDCE-MRVPVSSYSA-N,-4.7,-5.0,-5.7
GMZVRMREEHBGGF-UHFFFAOYSA-N,-5.1,-5.1,-5.2
MPBVHIBUJCELCL-UHFFFAOYSA-N,-5.9,-6.1,-6.0
SNIOPGDIGTZGOP-UHFFFAOYSA-N,-5.7,-5.3,-5.1
GDYUVHBMFVMBAF-LIRRHRJNSA-N,-7.2,-7.8,-8.3
QAJQUUOBVOKLOD-UHFFFAOYSA-N,-7.8,-8.1,-8.1
FOCVUCIESVLUNU-UHFFFAOYSA-N,-4.2,-4.1,-4.0
YTRMTPPVNRALON-UHFFFAOYSA-N,-7.2,-7.6,-8.0
GUBGYTABKSRVRQ-QUYVBRFLSA-N,-7.0,-7.8,-6.8
PYNXFZCZUAOOQC-UTKZUKDTSA-N,-7.5,-7.4,-8.3
YWPHCCPCQOJSGZ-NSHDSACASA-N,-5.7,-6.7,-6.3
PAQZZCOZHPGCFW-UUELBBOTSA-N,-6.9,-7.4,-8.0
VTUSIVBDOCDNHS-OAHLLOKOSA-N,-5.7,-5.4,-6.4
