ligand,E1,E2,E3
RZZPDXZPRHQOCG-OJAKKHQRSA-N,-6.6,-7.1,-7.5
FAKRSMQSSFJEIM-RQJHMYQMSA-N,-5.2,-5.6,-5.5
RGCVKNLCSQQDEP-UHFFFAOYSA-N,-7.1,-6.9,-7.9
SZNQDPUZKFSCNG-UHFFFAOYSA-N,-7.3,-7.1,-8.4
KKHPNPMTPORSQE-GOSISDBHSA-N,-6.4,-6.1,-6.5
CPTBDICYNRMXFX-UHFFFAOYSA-N,-6.9,-6.5,-6.6
SHZKQBHERIJWAO-AATRIKPKSA-N,-6.3,-6.5,-6.8
FLWFHHFTIRLFPV-KRWDZBQOSA-N,-6.8,-6.9,-7.3
AMTPYFGPPVFBBI-UHFFFAOYSA-N,-7.6,-7.5,-8.4
ALYNCZNDIQEVRV-UHFFFAOYSA-N,-5.2,-5.3,-5.7
ZCKAMNXUHHNZLN-UHFFFAOYSA-N,-5.2,-5.3,-6.1
VGGGPCQERPFHOB-RDBSUJKOSA-N,-6.8,-7.1,-7.4
QULKGELYPOJSLP-WCABBAIRSA-N,-7.3,-7.0,-6.7
ABBQGOCHXSPKHJ-WUKNDPDISA-N,-7.3,-7.1,-7.8
USSIQXCVUWKGNF-QGZVFWFLSA-N,-6.7,-6.3,-6.1
SFLSHLFXELFNJZ-QMMMGPOBSA-N,-5.7,-5.8,-6.2
AFCGFAGUEYAMAO-UHFFFAOYSA-N,-5.0,-5.0,-5.1
HXYVTAGFYLMHSO-UHFFFAOYSA-N,-5.1,-5.6,-5.3
SSOLNOMRVKKSON-UHFFFAOYSA-N,-6.9,-6.7,-7.4
AIUHRQHVWSUTGJ-UHFFFAOYSA-N,-7.3,-7.5,-8.3
YXSLJKQTIDHPOT-OIJGJAQQSA-N,-8.4,-7.7,-9.0
SOROIESOUPGGFO-YFKPBYRVSA-N,-6.0,-6.5,-6.1
YIEDSISPYKQADU-FMQUCBEESA-N,-7.2,-7.4,-8.2
QRORCRWSRPKEHR-UHFFFAOYSA-N,-6.4,-6.0,-6.9
GBBSUAFBMRNDJC-MRXNPFEDSA-N,-7.4,-7.3,-9.1
