ligand,E1,E2,E3
SZNQDPUZKFSCNG-UHFFFAOYSA-N,-6.8,-6.0,-5.1
SSOLNOMRVKKSON-UHFFFAOYSA-N,-6.8,-6.6,-5.7
SFLSHLFXELFNJZ-QMMMGPOBSA-N,-5.5,-5.1,-5.1
ZCKAMNXUHHNZLN-UHFFFAOYSA-N,-5.2,-5.5,-4.9
SHZKQBHERIJWAO-AATRIKPKSA-N,-6.5,-6.1,-5.9
GBBSUAFBMRNDJC-MRXNPFEDSA-N,-7.2,-6.1,-5.9
SOROIESOUPGGFO-YFKPBYRVSA-N,-5.5,-5.7,-4.7
KKHPNPMTPORSQE-GOSISDBHSA-N,-6.0,-5.6,-5.0
YIEDSISPYKQADU-FMQUCBEESA-N,-7.0,-7.6,-6.0
HXYVTAGFYLMHSO-UHFFFAOYSA-N,-4.9,-4.8,-3.8
VGGGPCQERPFHOB-RDBSUJKOSA-N,-6.0,-5.9,-6.1
QRORCRWSRPKEHR-UHFFFAOYSA-N,-6.2,-5.2,-5.4
AFCGFAGUEYAMAO-UHFFFAOYSA-N,-5.1,-4.6,-4.5
RZZPDXZPRHQOCG-OJAKKHQRSA-N,-6.7,-6.5,-5.6
FAKRSMQSSFJEIM-RQJHMYQMSA-N,-4.9,-4.4,-3.9
CPTBDICYNRMXFX-UHFFFAOYSA-N,-6.8,-5.8,-5.6
USSIQXCVUWKGNF-QGZVFWFLSA-N,-5.7,-5.5,-4.7
AMTPYFGPPVFBBI-UHFFFAOYSA-N,-7.1,-7.1,-6.4
FLWFHHFTIRLFPV-KRWDZBQOSA-N,-5.9,-5.7,-5.6
AIUHRQHVWSUTGJ-UHFFFAOYSA-N,-6.7,-6.0,-5.9
YXSLJKQTIDHPOT-OIJGJAQQSA-N,-6.7,-6.4,-5.7
ALYNCZNDIQEVRV-UHFFFAOYSA-N,-5.5,-4.9,-4.6
QULKGELYPOJSLP-WCABBAIRSA-N,-5.4,-5.5,-4.3
RGCVKNLCSQQDEP-UHFFFAOYSA-N,-6.2,-6.0,-5.4
ABBQGOCHXSPKHJ-WUKNDPDISA-N,-6.8,-6.7,-5.9
