ligand,E1,E2,E3
YXSLJKQTIDHPOT-OIJGJAQQSA-N,-7.6,-5.7,-4.1
AMTPYFGPPVFBBI-UHFFFAOYSA-N,-8.8,-6.5,-6.0
HXYVTAGFYLMHSO-UHFFFAOYSA-N,-5.8,-4.6,-3.9
SHZKQBHERIJWAO-AATRIKPKSA-N,-7.0,-5.9,-5.7
FLWFHHFTIRLFPV-KRWDZBQOSA-N,-7.2,-5.7,-5.1
SZNQDPUZKFSCNG-UHFFFAOYSA-N,-7.9,-6.9,-6.2
AIUHRQHVWSUTGJ-UHFFFAOYSA-N,-8.6,-6.6,-5.9
YIEDSISPYKQADU-FMQUCBEESA-N,-8.4,-7.3,-5.7
USSIQXCVUWKGNF-QGZVFWFLSA-N,-6.2,-5.4,-5.3
CPTBDICYNRMXFX-UHFFFAOYSA-N,-6.7,-6.7,-5.0
SSOLNOMRVKKSON-UHFFFAOYSA-N,-7.7,-6.3,-4.7
GBBSUAFBMRNDJC-MRXNPFEDSA-N,-8.0,-6.7,-6.3
RZZPDXZPRHQOCG-OJAKKHQRSA-N,-7.7,-6.2,-6.4
ZCKAMNXUHHNZLN-UHFFFAOYSA-N,-6.1,-4.9,-4.2
KKHPNPMTPORSQE-GOSISDBHSA-N,-6.4,-5.4,-4.9
FAKRSMQSSFJEIM-RQJHMYQMSA-N,-5.7,-4.8,-4.2
VGGGPCQERPFHOB-RDBSUJKOSA-N,-7.8,-6.4,-5.7
SOROIESOUPGGFO-YFKPBYRVSA-N,-6.7,-5.6,-5.3
ABBQGOCHXSPKHJ-WUKNDPDISA-N,-7.9,-7.0,-6.3
RGCVKNLCSQQDEP-UHFFFAOYSA-N,-8.0,-6.7,-5.7
QULKGELYPOJSLP-WCABBAIRSA-N,-6.7,-5.7,-5.0
AFCGFAGUEYAMAO-UHFFFAOYSA-N,-4.7,-5.1,-4.7
ALYNCZNDIQEVRV-UHFFFAOYSA-N,-5.8,-5.9,-5.2
QRORCRWSRPKEHR-UHFFFAOYSA-N,-7.0,-5.6,-5.2
SFLSHLFXELFNJZ-QMMMGPOBSA-N,-6.2,-5.6,-5.6
