ligand,E1,E2,E3
SHZKQBHERIJWAO-AATRIKPKSA-N,-7.1,-6.5,-6.5
ZCKAMNXUHHNZLN-UHFFFAOYSA-N,-5.7,-5.3,-5.6
HXYVTAGFYLMHSO-UHFFFAOYSA-N,-5.8,-5.9,-5.7
AFCGFAGUEYAMAO-UHFFFAOYSA-N,-4.9,-5.7,-4.9
RGCVKNLCSQQDEP-UHFFFAOYSA-N,-6.4,-6.9,-7.1
SSOLNOMRVKKSON-UHFFFAOYSA-N,-6.4,-6.5,-6.7
QRORCRWSRPKEHR-UHFFFAOYSA-N,-6.8,-6.3,-6.6
YIEDSISPYKQADU-FMQUCBEESA-N,-7.2,-6.7,-7.7
GBBSUAFBMRNDJC-MRXNPFEDSA-N,-7.6,-6.8,-7.9
YXSLJKQTIDHPOT-OIJGJAQQSA-N,-6.5,-7.6,-7.4
FAKRSMQSSFJEIM-RQJHMYQMSA-N,-5.1,-5.5,-5.3
ALYNCZNDIQEVRV-UHFFFAOYSA-N,-5.3,-5.8,-5.0
ABBQGOCHXSPKHJ-WUKNDPDISA-N,-7.0,-6.6,-6.7
SOROIESOUPGGFO-YFKPBYRVSA-N,-6.7,-6.9,-6.2
VGGGPCQERPFHOB-RDBSUJKOSA-N,-7.2,-7.0,-7.2
SZNQDPUZKFSCNG-UHFFFAOYSA-N,-7.6,-7.5,-7.1
FLWFHHFTIRLFPV-KRWDZBQOSA-N,-6.0,-6.1,-7.2
CPTBDICYNRMXFX-UHFFFAOYSA-N,-6.5,-6.4,-6.1
RZZPDXZPRHQOCG-OJAKKHQRSA-N,-7.6,-6.4,-7.5
SFLSHLFXELFNJZ-QMMMGPOBSA-N,-5.7,-6.6,-5.5
USSIQXCVUWKGNF-QGZVFWFLSA-N,-6.0,-5.0,-6.6
AIUHRQHVWSUTGJ-UHFFFAOYSA-N,-7.3,-6.7,-7.4
AMTPYFGPPVFBBI-UHFFFAOYSA-N,-7.4,-7.3,-7.3
QULKGELYPOJSLP-WCABBAIRSA-N,-6.6,-5.9,-6.1
KKHPNPMTPORSQE-GOSISDBHSA-N,-5.4,-5.7,-6.4
