ligand,E1,E2,E3
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-9.1,-7.7,-6.1
LEQAKWQJCITZNK-AXHKHJLKSA-N,-8.6,-7.3,-7.3
NHTGHBARYWONDQ-JTQLQIEISA-N,-6.3,-5.6,-5.1
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-7.2,-5.9,-6.3
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-7.6,-6.2,-4.6
VLPIATFUUWWMKC-JTQLQIEISA-N,-6.0,-5.5,-4.7
FRQGJOFRWIILCX-UHFFFAOYSA-N,-7.1,-6.1,-5.2
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-6.6,-5.7,-5.9
SETMGIIITGNLAS-UHFFFAOYSA-N,-7.7,-6.0,-5.5
GBFLZEXEOZUWRN-VKHMYHEASA-N,-4.8,-4.7,-4.4
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-7.0,-6.4,-5.8
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-10.6,-7.0,-6.5
NFHVTCJKAHYEQN-WMLDXEAASA-N,-8.1,-6.4,-6.0
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-7.8,-6.3,-5.7
DB15096,-8.4,-6.4,-5.8
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-7.7,-6.8,-5.7
YVQVOQKFMFRVGR-LLUUXILJSA-N,-8.0,-6.7,-5.7
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-7.2,-6.6,-5.9
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.5,-5.0,-5.1
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-6.3,-5.4,-5.5
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-6.3,-4.5,-4.3
XLMALTXPSGQGBX-GCJKJVERSA-N,-6.1,-4.7,-5.1
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-8.2,-6.5,-6.0
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-9.3,-7.1,-7.0
XILVEPYQJIOVNB-UHFFFAOYSA-N,-7.7,-6.7,-5.7
