ligand,E1,E2,E3
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-8.6,-8.4,-7.0
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-7.3,-7.2,-6.0
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-6.9,-7.0,-6.3
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-7.8,-7.9,-6.0
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-7.3,-8.5,-6.7
NFHVTCJKAHYEQN-WMLDXEAASA-N,-7.8,-6.3,-6.0
VLPIATFUUWWMKC-JTQLQIEISA-N,-6.2,-5.2,-5.0
LEQAKWQJCITZNK-AXHKHJLKSA-N,-8.0,-8.3,-6.2
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-6.3,-7.0,-6.4
NHTGHBARYWONDQ-JTQLQIEISA-N,-6.1,-5.4,-5.2
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-5.8,-5.5,-5.1
YVQVOQKFMFRVGR-LLUUXILJSA-N,-7.1,-7.2,-6.3
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-9.0,-9.2,-8.3
XLMALTXPSGQGBX-GCJKJVERSA-N,-5.8,-6.4,-5.1
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-5.8,-5.3,-5.8
SETMGIIITGNLAS-UHFFFAOYSA-N,-7.0,-6.9,-6.0
FRQGJOFRWIILCX-UHFFFAOYSA-N,-7.1,-6.8,-5.7
DB15096,-6.9,-7.7,-6.8
GBFLZEXEOZUWRN-VKHMYHEASA-N,-4.2,-4.0,-4.3
XILVEPYQJIOVNB-UHFFFAOYSA-N,-7.9,-7.3,-6.1
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-6.2,-6.7,-6.0
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-7.5,-7.4,-6.1
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.6,-5.8,-5.1
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-7.6,-5.7,-4.5
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-5.0,-5.3,-5.1
