ligand,E1,E2,E3
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-7.8,-8.1,-8.8
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-7.0,-7.0,-7.2
GBFLZEXEOZUWRN-VKHMYHEASA-N,-4.7,-5.0,-4.5
NFHVTCJKAHYEQN-WMLDXEAASA-N,-5.5,-7.6,-8.2
YVQVOQKFMFRVGR-LLUUXILJSA-N,-6.9,-7.4,-7.6
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.4,-6.1,-6.3
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-5.8,-5.5,-6.6
DB15096,-7.5,-7.4,-8.7
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-6.8,-6.6,-6.8
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-7.1,-7.3,-8.0
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-5.8,-5.6,-6.1
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-7.9,-8.5,-9.4
SETMGIIITGNLAS-UHFFFAOYSA-N,-6.4,-6.9,-7.3
FRQGJOFRWIILCX-UHFFFAOYSA-N,-6.4,-6.2,-7.2
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-6.4,-6.9,-7.5
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-8.1,-8.1,-8.1
XILVEPYQJIOVNB-UHFFFAOYSA-N,-6.8,-7.8,-7.7
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-9.0,-8.3,-10.7
VLPIATFUUWWMKC-JTQLQIEISA-N,-5.2,-5.1,-6.1
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-6.4,-6.4,-6.0
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-7.2,-7.1,-7.9
LEQAKWQJCITZNK-AXHKHJLKSA-N,-8.0,-8.0,-8.5
XLMALTXPSGQGBX-GCJKJVERSA-N,-5.6,-6.0,-6.1
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-7.5,-7.3,-7.8
NHTGHBARYWONDQ-JTQLQIEISA-N,-6.0,-6.6,-6.5
