ligand,E1,E2,E3
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-9.2,-7.7,-5.6
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-6.6,-5.7,-5.9
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-9.1,-7.7,-6.1
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-7.2,-6.6,-5.8
SETMGIIITGNLAS-UHFFFAOYSA-N,-7.7,-6.0,-5.5
LEQAKWQJCITZNK-AXHKHJLKSA-N,-8.6,-7.1,-7.3
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-8.1,-6.6,-6.0
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-6.3,-4.4,-4.3
XLMALTXPSGQGBX-GCJKJVERSA-N,-6.1,-4.7,-5.1
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-10.6,-7.0,-6.5
NFHVTCJKAHYEQN-WMLDXEAASA-N,-8.1,-6.5,-4.4
VLPIATFUUWWMKC-JTQLQIEISA-N,-6.0,-5.5,-4.7
FRQGJOFRWIILCX-UHFFFAOYSA-N,-7.2,-6.1,-5.2
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-6.4,-6.0,-5.7
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.5,-5.0,-5.1
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-7.3,-5.9,-6.3
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-7.3,-6.1,-3.8
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-7.7,-6.8,-5.8
DB15096,-8.4,-6.5,-5.7
GBFLZEXEOZUWRN-VKHMYHEASA-N,-4.6,-4.5,-4.4
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-6.3,-5.3,-5.5
XILVEPYQJIOVNB-UHFFFAOYSA-N,-7.6,-6.8,-5.8
NHTGHBARYWONDQ-JTQLQIEISA-N,-6.3,-5.2,-5.0
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-7.0,-6.5,-5.8
YVQVOQKFMFRVGR-LLUUXILJSA-N,-8.1,-6.9,-5.8
