ligand,E1,E2,E3
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-7.7,-5.1,-4.8
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-9.1,-6.5,-8.2
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-9.3,-7.0,-7.2
XILVEPYQJIOVNB-UHFFFAOYSA-N,-9.7,-7.5,-9.1
NHTGHBARYWONDQ-JTQLQIEISA-N,-7.8,-5.9,-6.4
VBZDETYCYXPOAK-HVIDBACLSA-N,-7.3,-6.6,-7.8
FRQGJOFRWIILCX-UHFFFAOYSA-N,-7.2,-7.1,-4.9
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-8.7,-7.0,-8.3
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-10.0,-7.8,-8.3
LEQAKWQJCITZNK-AXHKHJLKSA-N,-7.6,-7.7,-7.0
YVQVOQKFMFRVGR-LLUUXILJSA-N,-9.7,-6.7,-7.6
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-10.0,-7.8,-6.5
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-9.0,-8.1,-7.8
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-8.0,-5.8,-7.3
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-7.1,-5.4,-5.8
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-9.9,-7.5,-8.4
VLPIATFUUWWMKC-JTQLQIEISA-N,-7.1,-5.8,-7.0
NFHVTCJKAHYEQN-WMLDXEAASA-N,-8.8,-7.9,-9.0
GBFLZEXEOZUWRN-VKHMYHEASA-N,-5.8,-4.0,-5.0
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-9.8,-8.1,-8.7
XLMALTXPSGQGBX-GCJKJVERSA-N,-8.7,-6.3,-4.9
SETMGIIITGNLAS-UHFFFAOYSA-N,-8.0,-7.2,-8.7
DB15096,-9.6,-7.2,-5.8
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-12.7,-9.8,-5.4
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-10.6,-7.9,-7.1
