ligand,E1,E2,E3
FRQGJOFRWIILCX-UHFFFAOYSA-N,-6.2,-5.6,-5.7
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-6.6,-5.4,-6.7
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-7.6,-6.8,-7.1
YVQVOQKFMFRVGR-LLUUXILJSA-N,-7.2,-5.8,-6.4
NHTGHBARYWONDQ-JTQLQIEISA-N,-5.7,-4.2,-5.5
VLPIATFUUWWMKC-JTQLQIEISA-N,-5.2,-3.9,-5.3
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-7.0,-5.1,-7.4
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-5.6,-4.6,-5.7
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.6,-3.9,-5.3
XILVEPYQJIOVNB-UHFFFAOYSA-N,-6.8,-6.1,-6.7
DB15096,-6.0,-5.4,-7.0
GBFLZEXEOZUWRN-VKHMYHEASA-N,-4.4,-3.7,-4.6
NFHVTCJKAHYEQN-WMLDXEAASA-N,-7.9,-4.5,-7.1
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-8.0,-5.2,-5.9
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-7.1,-5.3,-6.9
XLMALTXPSGQGBX-GCJKJVERSA-N,-5.5,-4.2,-6.2
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-6.8,-4.4,-5.4
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-5.6,-4.3,-5.7
SETMGIIITGNLAS-UHFFFAOYSA-N,-6.3,-4.9,-6.4
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-5.3,-4.5,-5.5
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-6.5,-5.3,-6.7
LEQAKWQJCITZNK-AXHKHJLKSA-N,-7.1,-7.1,-7.0
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-7.9,-6.0,-6.9
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-7.0,-7.0,-6.8
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-6.6,-6.5,-8.0
