ligand,E1,E2,E3
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-7.2,-7.5,-5.9
LEQAKWQJCITZNK-AXHKHJLKSA-N,-8.9,-9.8,-9.6
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-7.7,-8.0,-7.6
XLMALTXPSGQGBX-GCJKJVERSA-N,-7.0,-7.4,-7.4
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-6.6,-6.8,-5.8
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-6.7,-6.6,-5.6
YVQVOQKFMFRVGR-LLUUXILJSA-N,-8.6,-8.6,-8.2
NFHVTCJKAHYEQN-WMLDXEAASA-N,-6.2,-6.4,-7.5
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-8.4,-8.2,-8.1
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-8.3,-8.1,-7.7
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-9.8,-8.5,-9.4
VLPIATFUUWWMKC-JTQLQIEISA-N,-5.7,-5.5,-5.5
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-8.5,-8.5,-8.0
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.3,-6.2,-6.2
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-8.0,-8.0,-7.7
GBFLZEXEOZUWRN-VKHMYHEASA-N,-5.2,-6.0,-4.9
SETMGIIITGNLAS-UHFFFAOYSA-N,-7.7,-7.6,-7.0
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-5.9,-5.6,-5.5
DB15096,-8.1,-8.8,-8.4
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-10.3,-9.7,-9.7
NHTGHBARYWONDQ-JTQLQIEISA-N,-6.8,-6.0,-5.6
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-10.9,-9.4,-9.1
XILVEPYQJIOVNB-UHFFFAOYSA-N,-7.8,-8.3,-8.1
FRQGJOFRWIILCX-UHFFFAOYSA-N,-7.1,-7.7,-8.7
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-7.6,-7.9,-7.3
