ligand,E1,E2,E3
JFNWFXVFBDDWCX-UHFFFAOYSA-N,-7.7,-6.4,-5.9
BXMFKNRZTLNAFY-UHFFFAOYSA-N,-6.2,-5.6,-5.0
STHAHFPLLHRRRO-UHFFFAOYSA-N,-7.3,-6.1,-4.7
QNIVIMYXGGFTAK-QMMMGPOBSA-N,-4.9,-4.2,-4.1
RZVAJINKPMORJF-UHFFFAOYSA-N,-6.3,-5.3,-5.5
UFLGIAIHIAPJJC-UHFFFAOYSA-N,-6.2,-5.3,-5.3
CMWTZPSULFXXJA-VIFPVBQESA-N,-7.4,-6.7,-5.9
OGAKLTJNUQRZJU-UHFFFAOYSA-N,-8.0,-6.5,-5.1
ZEUITGRIYCTCEM-KRWDZBQOSA-N,-7.5,-6.2,-5.8
QSLJIVKCVHQPLV-PEMPUTJUSA-N,-8.5,-6.7,-6.3
VZJFGSRCJCXDSG-UHFFFAOYSA-N,-4.5,-3.9,-3.4
HPJKCIUCZWXJDR-UHFFFAOYSA-N,-8.3,-6.3,-6.0
DBOUGBAQLIXZLV-UHFFFAOYSA-N,-6.9,-5.6,-5.2
GKWPCEFFIHSJOE-UHFFFAOYSA-N,-7.5,-6.9,-6.9
ZCVAIGPGEINFCX-MRVPVSSYSA-N,-7.0,-5.4,-5.9
WZHCOOQXZCIUNC-AEGPPILISA-N,-8.1,-6.8,-6.2
SRZGFCNCQUMTCP-MRVPVSSYSA-N,-5.0,-4.5,-4.2
IUCJMVBFZDHPDX-UHFFFAOYSA-N,-5.3,-4.4,-4.7
FZNCGRZWXLXZSZ-CIQUZCHMSA-N,-6.4,-4.8,-5.1
YAMVZYRZAMBCED-UHFFFAOYSA-N,-6.1,-6.6,-6.0
WIKYUJGCLQQFNW-UHFFFAOYSA-N,-8.0,-6.7,-5.9
NPUKDXXFDDZOKR-LLVKDONJSA-N,-7.0,-5.5,-5.5
WFJIVOKAWHGMBH-UHFFFAOYSA-N,-5.9,-5.3,-5.5
HXHWSAZORRCQMX-UHFFFAOYSA-N,-6.7,-5.9,-4.7
COVZYZSDYWQREU-UHFFFAOYSA-N,-5.0,-4.9,-4.3
