ligand,E1,E2,E3
ZCVAIGPGEINFCX-MRVPVSSYSA-N,-6.9,-7.1,-6.0
HXHWSAZORRCQMX-UHFFFAOYSA-N,-8.2,-7.3,-7.2
VZJFGSRCJCXDSG-UHFFFAOYSA-N,-5.0,-4.9,-4.4
DBOUGBAQLIXZLV-UHFFFAOYSA-N,-7.6,-7.2,-6.7
WZHCOOQXZCIUNC-AEGPPILISA-N,-8.2,-7.8,-7.7
YAMVZYRZAMBCED-UHFFFAOYSA-N,-7.4,-7.7,-6.6
FZNCGRZWXLXZSZ-CIQUZCHMSA-N,-7.4,-7.2,-5.9
QSLJIVKCVHQPLV-PEMPUTJUSA-N,-10.0,-9.2,-9.0
WFJIVOKAWHGMBH-UHFFFAOYSA-N,-6.2,-6.0,-6.0
HPJKCIUCZWXJDR-UHFFFAOYSA-N,-8.6,-8.7,-8.7
GKWPCEFFIHSJOE-UHFFFAOYSA-N,-8.6,-8.5,-8.7
IUCJMVBFZDHPDX-UHFFFAOYSA-N,-5.9,-5.8,-5.3
RZVAJINKPMORJF-UHFFFAOYSA-N,-6.5,-6.2,-5.1
BXMFKNRZTLNAFY-UHFFFAOYSA-N,-6.7,-6.7,-6.5
OGAKLTJNUQRZJU-UHFFFAOYSA-N,-7.5,-7.9,-8.0
WIKYUJGCLQQFNW-UHFFFAOYSA-N,-7.6,-8.0,-8.0
STHAHFPLLHRRRO-UHFFFAOYSA-N,-7.3,-6.9,-7.0
COVZYZSDYWQREU-UHFFFAOYSA-N,-5.8,-5.8,-5.4
UFLGIAIHIAPJJC-UHFFFAOYSA-N,-6.5,-7.0,-6.4
QNIVIMYXGGFTAK-QMMMGPOBSA-N,-4.7,-4.5,-4.4
JFNWFXVFBDDWCX-UHFFFAOYSA-N,-7.6,-8.3,-7.7
NPUKDXXFDDZOKR-LLVKDONJSA-N,-6.8,-6.8,-6.7
CMWTZPSULFXXJA-VIFPVBQESA-N,-8.0,-7.5,-7.1
ZEUITGRIYCTCEM-KRWDZBQOSA-N,-7.5,-7.6,-7.0
SRZGFCNCQUMTCP-MRVPVSSYSA-N,-6.2,-5.8,-5.7
