ligand,E1,E2,E3
YAMVZYRZAMBCED-UHFFFAOYSA-N,-4.8,-6.0,-4.6
CMWTZPSULFXXJA-VIFPVBQESA-N,-5.7,-6.7,-5.3
SRZGFCNCQUMTCP-MRVPVSSYSA-N,-4.2,-5.0,-5.0
ZCVAIGPGEINFCX-MRVPVSSYSA-N,-5.5,-6.0,-4.9
ZEUITGRIYCTCEM-KRWDZBQOSA-N,-5.6,-7.0,-5.4
WFJIVOKAWHGMBH-UHFFFAOYSA-N,-5.1,-5.5,-5.1
WIKYUJGCLQQFNW-UHFFFAOYSA-N,-5.6,-6.5,-5.6
UFLGIAIHIAPJJC-UHFFFAOYSA-N,-5.2,-6.1,-4.8
QSLJIVKCVHQPLV-PEMPUTJUSA-N,-5.7,-6.7,-6.2
FZNCGRZWXLXZSZ-CIQUZCHMSA-N,-5.0,-5.2,-4.8
COVZYZSDYWQREU-UHFFFAOYSA-N,-3.9,-4.6,-4.4
HPJKCIUCZWXJDR-UHFFFAOYSA-N,-6.5,-7.5,-6.5
QNIVIMYXGGFTAK-QMMMGPOBSA-N,-4.2,-4.3,-3.5
NPUKDXXFDDZOKR-LLVKDONJSA-N,-5.3,-6.1,-5.7
WZHCOOQXZCIUNC-AEGPPILISA-N,-7.2,-7.2,-5.3
BXMFKNRZTLNAFY-UHFFFAOYSA-N,-5.6,-5.6,-4.6
GKWPCEFFIHSJOE-UHFFFAOYSA-N,-5.9,-7.7,-5.3
HXHWSAZORRCQMX-UHFFFAOYSA-N,-5.6,-5.6,-6.5
OGAKLTJNUQRZJU-UHFFFAOYSA-N,-5.8,-7.7,-5.0
VZJFGSRCJCXDSG-UHFFFAOYSA-N,-3.4,-4.2,-3.5
STHAHFPLLHRRRO-UHFFFAOYSA-N,-5.5,-6.0,-5.9
IUCJMVBFZDHPDX-UHFFFAOYSA-N,-4.4,-4.8,-5.3
RZVAJINKPMORJF-UHFFFAOYSA-N,-5.3,-5.3,-5.1
JFNWFXVFBDDWCX-UHFFFAOYSA-N,-6.3,-7.8,-5.8
DBOUGBAQLIXZLV-UHFFFAOYSA-N,-5.5,-5.8,-4.9
