ligand,E1,E2,E3
CMWTZPSULFXXJA-VIFPVBQESA-N,-5.7,-6.9,-5.3
JFNWFXVFBDDWCX-UHFFFAOYSA-N,-6.1,-5.8,-5.6
OGAKLTJNUQRZJU-UHFFFAOYSA-N,-6.1,-5.9,-5.1
RZVAJINKPMORJF-UHFFFAOYSA-N,-4.6,-4.9,-4.3
IUCJMVBFZDHPDX-UHFFFAOYSA-N,-4.4,-4.4,-4.0
DBOUGBAQLIXZLV-UHFFFAOYSA-N,-5.6,-6.2,-4.6
BXMFKNRZTLNAFY-UHFFFAOYSA-N,-5.1,-5.1,-5.3
QSLJIVKCVHQPLV-PEMPUTJUSA-N,-6.7,-7.1,-6.1
FZNCGRZWXLXZSZ-CIQUZCHMSA-N,-5.0,-5.1,-4.9
VZJFGSRCJCXDSG-UHFFFAOYSA-N,-3.8,-4.5,-3.4
ZCVAIGPGEINFCX-MRVPVSSYSA-N,-5.0,-5.9,-5.1
NPUKDXXFDDZOKR-LLVKDONJSA-N,-5.5,-5.8,-4.4
WFJIVOKAWHGMBH-UHFFFAOYSA-N,-4.6,-5.6,-5.1
YAMVZYRZAMBCED-UHFFFAOYSA-N,-5.3,-6.2,-5.1
HXHWSAZORRCQMX-UHFFFAOYSA-N,-5.6,-5.7,-5.3
GKWPCEFFIHSJOE-UHFFFAOYSA-N,-6.3,-6.7,-5.7
STHAHFPLLHRRRO-UHFFFAOYSA-N,-5.5,-6.2,-5.4
ZEUITGRIYCTCEM-KRWDZBQOSA-N,-5.7,-6.5,-4.8
SRZGFCNCQUMTCP-MRVPVSSYSA-N,-4.3,-4.4,-3.8
WZHCOOQXZCIUNC-AEGPPILISA-N,-6.7,-6.4,-6.2
QNIVIMYXGGFTAK-QMMMGPOBSA-N,-3.3,-4.3,-3.8
COVZYZSDYWQREU-UHFFFAOYSA-N,-4.2,-4.5,-4.1
HPJKCIUCZWXJDR-UHFFFAOYSA-N,-6.4,-6.8,-5.6
UFLGIAIHIAPJJC-UHFFFAOYSA-N,-4.9,-5.6,-4.6
WIKYUJGCLQQFNW-UHFFFAOYSA-N,-6.6,-6.5,-5.3
