ligand,E1,E2,E3
UFLGIAIHIAPJJC-UHFFFAOYSA-N,-5.7,-5.5,-6.2
QSLJIVKCVHQPLV-PEMPUTJUSA-N,-8.3,-5.4,-8.1
ZCVAIGPGEINFCX-MRVPVSSYSA-N,-6.2,-6.3,-6.0
BXMFKNRZTLNAFY-UHFFFAOYSA-N,-5.5,-6.1,-5.7
JFNWFXVFBDDWCX-UHFFFAOYSA-N,-6.7,-6.4,-7.0
WZHCOOQXZCIUNC-AEGPPILISA-N,-7.4,-7.0,-7.1
ZEUITGRIYCTCEM-KRWDZBQOSA-N,-5.9,-6.6,-7.3
WFJIVOKAWHGMBH-UHFFFAOYSA-N,-5.5,-5.6,-6.3
QNIVIMYXGGFTAK-QMMMGPOBSA-N,-4.0,-4.1,-4.5
GKWPCEFFIHSJOE-UHFFFAOYSA-N,-6.7,-5.7,-7.6
VZJFGSRCJCXDSG-UHFFFAOYSA-N,-4.4,-3.3,-4.6
HXHWSAZORRCQMX-UHFFFAOYSA-N,-6.1,-6.2,-6.0
HPJKCIUCZWXJDR-UHFFFAOYSA-N,-7.1,-6.3,-7.2
NPUKDXXFDDZOKR-LLVKDONJSA-N,-5.8,-5.4,-6.4
IUCJMVBFZDHPDX-UHFFFAOYSA-N,-5.4,-4.5,-5.0
WIKYUJGCLQQFNW-UHFFFAOYSA-N,-6.7,-5.9,-7.2
CMWTZPSULFXXJA-VIFPVBQESA-N,-6.6,-6.9,-7.6
FZNCGRZWXLXZSZ-CIQUZCHMSA-N,-5.7,-5.7,-5.5
SRZGFCNCQUMTCP-MRVPVSSYSA-N,-5.1,-5.2,-5.0
DBOUGBAQLIXZLV-UHFFFAOYSA-N,-5.6,-5.5,-6.5
STHAHFPLLHRRRO-UHFFFAOYSA-N,-6.1,-5.6,-6.4
YAMVZYRZAMBCED-UHFFFAOYSA-N,-5.6,-6.3,-6.5
RZVAJINKPMORJF-UHFFFAOYSA-N,-5.6,-5.7,-5.3
COVZYZSDYWQREU-UHFFFAOYSA-N,-5.1,-4.5,-5.0
OGAKLTJNUQRZJU-UHFFFAOYSA-N,-6.5,-6.2,-7.5
